system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-1.2019,0.8417,0.5437,-0.0252,-0.0185
aya_owsm4.0-ctc,both,-0.2404,0.8661,0.7689,-0.0199,-0.019
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,-1.2019,-0.382,-0.5823,0.0223,0.025
canary-v2,both,-0.9615,-1.9701,-2.1445,0.0514,0.0563
desta2-8b,both,-50.7212,-9.3442,-14.6902,0.5568,0.644
gemma_canary-v2,left_only,,,,,
gemma_owsm4.0-ctc,both,0.4808,0.3779,0.4249,-0.0101,-0.0098
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,left_only,,,,,
owsm4.0-ctc,both,-1.4423,0.1704,-0.0597,0.016,0.0186
phi4multimodal,both,6.0096,-0.226,-0.2043,0.0947,0.0096
qwen2audio-7b,both,-88.7019,-8.1008,-17.8393,0.6008,0.7438
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,-0.2404,0.1328,0.0228,0.0041,0.004
tower_owsm4.0-ctc,both,0.0,0.7227,0.6436,-0.0085,-0.008
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,-0.4808,-0.9324,-1.0473,0.0463,0.0464
voxtral-small-24b,both,-0.7212,0.2129,0.0195,-0.0004,0.0042
