system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,0.2404,-0.624,-0.5995,-0.0208,-0.0187
aya_owsm4.0-ctc,both,0.9615,-0.3546,-0.2325,-0.0449,-0.046
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,3.125,1.3098,1.6282,-0.0937,-0.097
canary-v2,both,2.6442,1.6137,1.94,-0.0584,-0.0702
desta2-8b,both,71.6346,6.054,13.2594,-0.3618,-0.4816
gemma_canary-v2,left_only,,,,,
gemma_owsm4.0-ctc,both,0.2404,-1.3032,-1.2506,0.0453,0.0474
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,left_only,,,,,
owsm4.0-ctc,both,32.9327,1.9977,4.0075,0.0401,-0.147
phi4multimodal,both,-46.1538,-5.5776,-7.9434,-0.1833,0.2923
qwen2audio-7b,both,80.2885,8.0454,16.2447,-0.4644,-0.5821
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,0.0,-0.6463,-0.6459,0.0151,0.0176
tower_owsm4.0-ctc,both,-0.2404,-0.7785,-0.7886,0.0078,0.0105
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,0.2404,1.1628,1.1438,-0.0347,-0.0326
voxtral-small-24b,both,-0.2404,-0.079,-0.1272,-0.0086,-0.0039
