system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.7212,1.0556,0.8769,-0.02,-0.0162
aya_owsm4.0-ctc,both,-0.9615,0.9164,0.7542,0.0041,0.0064
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,-1.6827,-0.1865,-0.3992,0.0108,0.0157
canary-v2,both,-4.8077,-2.2075,-2.5594,0.0681,0.0914
desta2-8b,both,-85.8173,-6.6829,-14.9282,0.468,0.5891
gemma_canary-v2,left_only,,,,,
gemma_owsm4.0-ctc,both,-0.4808,0.5213,0.4858,0.0116,0.0107
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,left_only,,,,,
owsm4.0-ctc,both,-54.0865,-3.2916,-6.8239,0.0215,0.3197
phi4multimodal,both,3.125,-0.9286,-1.0447,0.1857,0.0464
qwen2audio-7b,both,-86.7788,-6.2364,-15.679,0.5199,0.6685
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,-0.2404,0.7423,0.6704,-0.0163,-0.0161
tower_owsm4.0-ctc,both,-0.4808,0.8953,0.8056,-0.0137,-0.0122
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,-1.4423,-0.9535,-1.0278,0.0367,0.0395
voxtral-small-24b,both,-0.4808,0.3895,0.3279,-0.0115,-0.012
