system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,0.0,0.0569,0.0871,-0.0016,-0.0016
aya_owsm4.0-ctc,both,0.2404,0.0407,0.1069,0.0197,0.0198
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,-1.2019,-0.3305,-0.5116,0.0293,0.0313
canary-v2,both,0.0,-0.3118,0.0,0.4064,0.0
desta2-8b,both,-75.9615,-6.9979,-15.0731,0.3648,0.4736
gemma_canary-v2,left_only,,,,,
gemma_owsm4.0-ctc,both,-0.7212,-0.47,-0.5647,0.0433,0.0448
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,left_only,,,,,
owsm4.0-ctc,both,-1.2019,-0.324,-0.3987,0.0349,0.0395
phi4multimodal,both,-22.1154,-5.7949,-8.0427,0.4426,0.3573
qwen2audio-7b,both,-82.4519,-9.5904,-18.6949,0.5179,0.6583
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,0.0,-0.1099,-0.1286,0.0084,0.0073
tower_owsm4.0-ctc,both,-1.4423,0.0535,-0.1029,0.0144,0.0167
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,-1.2019,-0.561,-0.7624,0.0377,0.041
voxtral-small-24b,both,-0.2404,-0.0355,-0.0785,0.012,0.0137
