,es_en,es_en,es_en,es_en,es_en,es_en
accent,ANDINOPACIFICO COLOMBIA PERU ECUADOR OESTE DE BOLIVIA Y VENEZUELA ANDINA,CARIBE CUBA VENEZUELA PUERTO RICO REPUBLICA DOMINICANA PANAMA COLOMBIA CARIBENA MEXICO CARIBENO COSTA DEL GOLFO DE MEXICO,CHILENO CHILE CUYO,ESPANA SUR PENINSULAR (ANDALUCIA EXTREMADURA MURCIA),MEXICO,RIOPLATENSE ARGENTINA URUGUAY ESTE DE BOLIVIA PARAGUAY
system,,,,,,
whisper,0.8525211463868618,0.8166349866986274,0.7859932725131512,0.7999352474510669,0.8378781667351722,0.7662493771314621
seamlessm4t,0.8876654613018036,0.8586240719258785,0.857570570409298,0.8635844302177429,0.8470334254205227,0.8372807570546865
canary-v2,0.8719363540410996,0.8407966223359108,0.8591140900552273,0.8392320699989796,0.8527797570824623,0.8278292952477933
owsm4.0-ctc,0.6351942609250546,0.6140159700810909,0.5843610570579767,0.5872852182388306,0.606142483651638,0.5817909912019968
aya_whisper,0.851744762212038,0.8420262755453587,0.8446470274031163,0.8531607547402382,0.8604563856869936,0.8619125649333
gemma_whisper,0.8654369620978832,0.8207840555906296,0.8383296409249306,0.840242775529623,0.8294149994105101,0.8345691365003586
tower_whisper,0.8619951424002648,0.8347209398448467,0.8456568555533885,0.8583802610635758,0.8613705410063267,0.8558480036258698
aya_seamlessm4t,0.8780366003513336,0.8449705258756876,0.866356854736805,0.8537658427655697,0.867881264090538,0.8485233311355114
gemma_seamlessm4t,0.8966726341843605,0.8541193360090256,0.8562548899650574,0.865188863426447,0.8381454353034496,0.8228632953763008
tower_seamlessm4t,0.8797851115465164,0.8545521900057793,0.856205458343029,0.858155582100153,0.8655766978859901,0.8248828325420619
aya_canary-v2,0.8903522638976574,0.8590380199253559,0.866860458701849,0.8678050181269645,0.8726303416490555,0.8569029611349106
gemma_canary-v2,0.8815126031637192,0.8631825822591782,0.858319992274046,0.8481174936890602,0.8540105740725994,0.8197003914415837
tower_canary-v2,0.886956387758255,0.8594831255078316,0.865006966739893,0.8639505027234554,0.8628475111722946,0.8372181585431099
aya_owsm4.0-ctc,0.8790037655830383,0.8332726952433586,0.834551281183958,0.8223997505009174,0.8479227720946073,0.8433133119344711
gemma_owsm4.0-ctc,0.8830257521569729,0.8420442751049996,0.8233601137250662,0.8281198583543301,0.8273043408244848,0.808945025652647
tower_owsm4.0-ctc,0.8662333665788173,0.8344460977613926,0.8495533919334411,0.8324678240716458,0.8563317067921161,0.8254688835144043
desta2-8b,0.6541783200204372,0.651758234500885,0.591019466817379,0.638751569390297,0.6900247829407453,0.6304969642311334
qwen2audio-7b,0.8026848919689655,0.7672314219176769,0.7916678911447526,0.7836102667450905,0.8095236948132515,0.7679010353982448
phi4multimodal,0.8027609305083752,0.7698219519853592,0.776434957832098,0.8114648714661599,0.811582957059145,0.756727209687233
voxtral-small-24b,0.8802071297168732,0.8586882311850786,0.8831093391776085,0.8633602751791477,0.8874297866225243,0.845445873811841
spirelm,,,,,,
