system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,DEUTSCHLAND DEUTSCH,4.0,4.520862042307853,5.162987601161003,0.8771272087097168,0.8518435844779014
canary-v2,ITALIENISCH DEUTSCH,3.0,4.200826308131218,4.761283690333366,0.8960337293148041,0.8749171610176564
canary-v2,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,3.0,4.659013604819775,5.237825135886669,0.8774709391593933,0.8493280625343322
canary-v2,OSTERREICHISCHES DEUTSCH,2.0,5.343556790053844,5.773155984580517,0.8325815510004759,0.8158663439005613
canary-v2,SCHWEIZERDEUTSCH,3.0,4.302869370877743,4.800218490064144,0.8960060144960881,0.8785174643993378
desta2-8b,DEUTSCHLAND DEUTSCH,5.0,6.746673134565353,7.313898915052414,0.6435844957828522,0.6242844986915589
desta2-8b,ITALIENISCH DEUTSCH,3.0,6.073668072521687,6.5362474432587625,0.6569227489829064,0.6443307483196259
desta2-8b,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,2.0,7.098472748994827,7.383232065439224,0.6324614831060171,0.6243277321010828
desta2-8b,OSTERREICHISCHES DEUTSCH,5.0,8.920830105543137,9.683966258764267,0.5683499922603369,0.5449745577573776
desta2-8b,SCHWEIZERDEUTSCH,5.0,7.297503417134285,8.24487351834774,0.6542973569780588,0.6231983207911252
phi4multimodal,DEUTSCHLAND DEUTSCH,6.0,4.6907559943199155,5.665125477313995,0.861591394841671,0.8145059669017791
phi4multimodal,ITALIENISCH DEUTSCH,2.0,4.073588899970055,4.390788792967796,0.8983818310499191,0.8796657717227936
phi4multimodal,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,7.000000000000001,4.429600588977337,5.323905781209469,0.9122665525972843,0.8464776284992694
phi4multimodal,OSTERREICHISCHES DEUTSCH,10.0,5.6682839727401735,7.1145348286628725,0.8232084930688143,0.7424100930988788
phi4multimodal,SCHWEIZERDEUTSCH,10.0,4.39619799554348,6.378422121405602,0.8630329278111458,0.7690544757246971
qwen2audio-7b,DEUTSCHLAND DEUTSCH,5.0,5.9105011069774624,6.6551525962352756,0.7793611858785152,0.7388363508880138
qwen2audio-7b,ITALIENISCH DEUTSCH,6.0,5.423933354020119,6.460930172801017,0.8057857529073954,0.7580835340172052
qwen2audio-7b,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,5.0,5.969017592668533,6.789792457818985,0.7509766123443842,0.7174166259914636
qwen2audio-7b,OSTERREICHISCHES DEUTSCH,11.0,7.585003128051758,9.43123017191887,0.6618297886103391,0.5971077293902636
qwen2audio-7b,SCHWEIZERDEUTSCH,8.0,6.662889986634254,7.916404581665993,0.7406685943901539,0.6813320888578892
seamlessm4t,DEUTSCHLAND DEUTSCH,2.0,4.1526985651254655,4.47399571955204,0.876172102689743,0.8597600090503693
seamlessm4t,ITALIENISCH DEUTSCH,1.0,3.5091587817668914,3.746358369588852,0.9087432025372982,0.9000271432101726
seamlessm4t,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,7.000000000000001,3.8125864708423616,5.1654138445854185,0.9098830902576447,0.8555737799406051
seamlessm4t,OSTERREICHISCHES DEUTSCH,1.0,5.392431263327598,5.633109325766563,0.8299879214912653,0.8199879214912653
seamlessm4t,SCHWEIZERDEUTSCH,5.0,4.772841015458107,5.750316687226295,0.8317694022506475,0.7901538296788931
voxtral-small-24b,DEUTSCHLAND DEUTSCH,6.0,3.90773865878582,5.029134339094162,0.8961239182949066,0.8526415394246578
voxtral-small-24b,ITALIENISCH DEUTSCH,2.0,3.5598899102211,3.9893131041526795,0.9047018763422966,0.8908628025650978
voxtral-small-24b,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,8.0,3.8037075209617615,5.366247196197509,0.9015292526781559,0.8364824977517128
voxtral-small-24b,OSTERREICHISCHES DEUTSCH,2.0,4.976943074464798,5.313897343873978,0.8102351683378219,0.7947205394506455
voxtral-small-24b,SCHWEIZERDEUTSCH,5.0,3.3129290622472762,4.319476682543755,0.9072205419838428,0.8626144309341908
whisper,DEUTSCHLAND DEUTSCH,2.0,6.218311447501183,6.500336121916771,0.7938969356566667,0.7811920357495546
whisper,ITALIENISCH DEUTSCH,3.0,5.111299177408219,5.617018023729324,0.8430832781642675,0.8281483184546232
whisper,NORDRHEIN WESTFALEN BUNDESDEUTSCH HOCHDEUTSCH DEUTSCHLAND DEUTSCH,7.000000000000001,6.362494089007377,7.4984634417295455,0.8085902972519398,0.7565375442802906
whisper,OSTERREICHISCHES DEUTSCH,5.0,7.074701167941093,7.910852531790733,0.7375587175786495,0.705592502951622
whisper,SCHWEIZERDEUTSCH,4.0,5.701652244031429,6.405824922025204,0.7941895700991154,0.7677036927640438
