system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,AUSTRALIAN ENGLISH,5.0,2.559595976471901,3.564290680885315,0.9371302050352096,0.8989815336465835
canary-v2,CANADIAN ENGLISH,4.0,3.479369949698448,4.4031487980484965,0.9114655967056752,0.8718816132843494
canary-v2,ENGLAND ENGLISH,5.0,4.051923808455467,5.18844960719347,0.8833826221525669,0.8351707358658313
canary-v2,FILIPINO,4.0,3.1787722853943707,4.116649782471359,0.9260645414888858,0.8867425681650638
canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,7.000000000000001,3.2614078794047234,4.805940343551338,0.9257358860969543,0.8586413699388504
canary-v2,HONG KONG ENGLISH,8.0,3.6156995992362497,5.340779272764921,0.8957455246150494,0.8232464264333248
canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,3.0,4.7417230319604275,5.320952542982996,0.8626060704886913,0.8380518160760403
canary-v2,IRISH ENGLISH,8.0,3.3140060794353485,5.076702054738998,0.9079517889022827,0.8342007929086686
canary-v2,MALAYSIAN ENGLISH,8.0,4.636408870220184,6.254387874603271,0.8565134434401989,0.7959877832233906
canary-v2,NEW ZEALAND ENGLISH,5.0,3.242444074451923,4.140448363125325,0.9181950473785401,0.8791071963310242
canary-v2,SCOTTISH ENGLISH,4.0,2.510343023240566,3.40498167604208,0.9453168714046478,0.9063082975149155
canary-v2,SINGAPOREAN ENGLISH,3.0,3.5331214079260826,4.036513166129589,0.9059176376461983,0.8861853477358818
canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,5.0,2.8553458196669816,3.9462226510792973,0.9167800804972649,0.8678086486458778
canary-v2,UNITED STATES ENGLISH,5.0,4.1709655687958005,5.149168503209949,0.8683635956048965,0.8285102309286594
desta2-8b,AUSTRALIAN ENGLISH,5.0,4.337102806866169,5.154077276289463,0.8201151096820831,0.7924101583659648
desta2-8b,CANADIAN ENGLISH,6.0,5.833082022368908,7.012994043529034,0.7528874738514424,0.7057020282745361
desta2-8b,ENGLAND ENGLISH,3.0,6.523504051268101,7.095210748314858,0.7133101207762956,0.6983856534212828
desta2-8b,FILIPINO,7.000000000000001,6.418993565402925,7.805301916562021,0.720762043595314,0.6759911489486694
desta2-8b,GERMAN ENGLISH NON NATIVE SPEAKER,5.0,5.617098404616118,6.416885108202695,0.8051647835969925,0.7811354732513428
desta2-8b,HONG KONG ENGLISH,5.0,6.517548848539591,7.390610233694315,0.74174655623734,0.7095205134898425
desta2-8b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,2.0,7.872948322594166,8.202868452370167,0.6661167062819005,0.6639224883913993
desta2-8b,IRISH ENGLISH,8.0,6.245786502063274,7.832143162190914,0.7261749370396138,0.6771735073626042
desta2-8b,MALAYSIAN ENGLISH,3.0,11.66404099971056,12.033516621887683,0.5017508656531572,0.4920235997438431
desta2-8b,NEW ZEALAND ENGLISH,2.0,5.227720766067505,5.666734461784363,0.775664909183979,0.7566158655285835
desta2-8b,SCOTTISH ENGLISH,5.0,5.023989042341709,6.01481175377965,0.803350453004241,0.7709471034258604
desta2-8b,SINGAPOREAN ENGLISH,2.0,10.387100541889668,10.489342897236348,0.5724327156692743,0.5697558375447989
desta2-8b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,7.000000000000001,5.906729254871607,7.065609755665064,0.7643715307861566,0.7241386677324771
desta2-8b,UNITED STATES ENGLISH,6.0,6.844080390483141,7.847634362727404,0.7344497457891702,0.6879889830201864
phi4multimodal,AUSTRALIAN ENGLISH,11.0,3.75706582814455,5.109546875655651,0.9356732773780823,0.8393847852945328
phi4multimodal,CANADIAN ENGLISH,15.0,5.539904844760895,6.8203470468521115,0.9086369303613901,0.7823585414886475
phi4multimodal,ENGLAND ENGLISH,20.0,6.4717723456025125,8.147638811171054,0.917201274484396,0.7261512671411038
phi4multimodal,FILIPINO,13.0,4.1295513525605205,6.2516646093130115,0.9185673473775386,0.7964311622083187
phi4multimodal,GERMAN ENGLISH NON NATIVE SPEAKER,11.0,3.841662498600781,5.303899923451245,0.9261079782247543,0.8209591543674469
phi4multimodal,HONG KONG ENGLISH,21.0,5.063312900215387,7.788377326130867,0.9175781859457492,0.7186949624121189
phi4multimodal,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,22.0,7.0592606430873275,9.317618738971651,0.855341567248106,0.6629180856049061
phi4multimodal,IRISH ENGLISH,14.000000000000002,4.276167842149735,6.703342799544334,0.8981691245734692,0.7683126710355281
phi4multimodal,MALAYSIAN ENGLISH,19.0,5.643664172887802,7.803521245419979,0.8907433474063873,0.7390807408094406
phi4multimodal,NEW ZEALAND ENGLISH,11.0,4.217499619424343,5.496214677393437,0.9130094584822654,0.8152705761790275
phi4multimodal,SCOTTISH ENGLISH,6.0,3.978881787508726,4.304474133700133,0.9385040721297264,0.8787355849146843
phi4multimodal,SINGAPOREAN ENGLISH,14.000000000000002,5.002267516553402,6.419287656247616,0.905753107815981,0.7910780733823777
phi4multimodal,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,14.000000000000002,4.210365298241377,5.867977299541235,0.9185785160958767,0.7968928045034409
phi4multimodal,UNITED STATES ENGLISH,26.0,6.307520355284214,9.258076194822788,0.8614682993292808,0.6605996482074261
qwen2audio-7b,AUSTRALIAN ENGLISH,3.0,3.9384130929410457,4.589664202779532,0.8832619813084602,0.8606272161006927
qwen2audio-7b,CANADIAN ENGLISH,8.0,5.124779295325279,6.336195697188377,0.8650005996227265,0.8046777538955212
qwen2audio-7b,ENGLAND ENGLISH,3.0,5.133927616328001,5.8002598993480206,0.8154202192276716,0.7894556879252196
qwen2audio-7b,FILIPINO,7.000000000000001,4.500849372707307,5.930866105817258,0.8621594288945198,0.801177906692028
qwen2audio-7b,GERMAN ENGLISH NON NATIVE SPEAKER,9.0,4.857254802361131,6.116563621535898,0.8636507278680802,0.7925773876905441
qwen2audio-7b,HONG KONG ENGLISH,7.000000000000001,5.2050037021934985,6.492152296751738,0.835543947070837,0.7729741732776165
qwen2audio-7b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,3.0,5.964366194419563,6.285160705260933,0.7672193726152181,0.7564502470195293
qwen2audio-7b,IRISH ENGLISH,11.0,5.289772270619869,6.961329828202724,0.8401244351267815,0.760240707397461
