system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,AUSTRALIAN ENGLISH,3.0,2.5530512058734893,3.2324702072143556,0.9346123099327087,0.908143499493599
canary-v2,CANADIAN ENGLISH,1.0,4.146068183779716,4.3595068567991255,0.8877146495878696,0.8792349834740162
canary-v2,ENGLAND ENGLISH,2.0,4.617230466753244,4.860133422762155,0.8621075855195522,0.8577187208831311
canary-v2,FILIPINO,3.0,3.661420173496008,4.249522635787725,0.8797937387228012,0.8576794779300689
canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,4.0,3.5720101718604567,4.454395837634802,0.8868589708209038,0.8503765323758126
canary-v2,HONG KONG ENGLISH,2.0,3.9653699487447738,4.4449408043920995,0.8420386250317097,0.8220386250317097
canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,3.0,4.651335003972053,5.040539248585701,0.8025781217217446,0.7951224479079246
canary-v2,IRISH ENGLISH,7.000000000000001,3.3925923031568526,4.988386391997337,0.8799602624773979,0.817996267080307
canary-v2,MALAYSIAN ENGLISH,2.0,4.49336106389761,4.905784710347652,0.8380216734856367,0.8248246886581182
canary-v2,NEW ZEALAND ENGLISH,2.0,3.467424709498882,3.8645820257067682,0.8890474326908588,0.8745394904911518
canary-v2,SCOTTISH ENGLISH,2.0,3.098196130692959,3.5742180344462393,0.9134227913618088,0.8934227913618088
canary-v2,SINGAPOREAN ENGLISH,3.0,3.610828184187412,4.194998760819435,0.8830608706176281,0.8600596408545971
canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.0,2.850278405100107,2.850278405100107,0.9047439995408059,0.9047439995408059
canary-v2,UNITED STATES ENGLISH,2.0,4.209626887440681,4.390043538212776,0.828067272901535,0.8195578117668628
desta2-8b,AUSTRALIAN ENGLISH,4.0,4.749347215592861,5.476022978723049,0.6781971836835146,0.6538908990472555
desta2-8b,CANADIAN ENGLISH,0.0,5.386757709085941,5.386757709085941,0.6733825621008873,0.6733825621008873
desta2-8b,ENGLAND ENGLISH,0.0,6.556094337403774,6.556094337403774,0.6228582253307104,0.6228582253307104
desta2-8b,FILIPINO,3.0,6.788948174715042,7.387550121545791,0.6263630721718073,0.6149881688505411
desta2-8b,GERMAN ENGLISH NON NATIVE SPEAKER,3.0,5.164147167354822,5.708693630844355,0.7158969841897488,0.6988705979287624
desta2-8b,HONG KONG ENGLISH,4.0,6.426772768199444,6.92540587157011,0.5837104015797376,0.5685923454910516
desta2-8b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,0.0,7.624063001573086,7.624063001573086,0.5848216619342566,0.5848216619342566
desta2-8b,IRISH ENGLISH,7.000000000000001,5.642167548537254,6.877644944787026,0.6137443028390408,0.5858641495555639
desta2-8b,MALAYSIAN ENGLISH,1.0,11.41670887261629,11.456206019222737,0.43372828505933286,0.4321430668979883
desta2-8b,NEW ZEALAND ENGLISH,2.0,5.70886450946331,6.064134942293167,0.668313110396266,0.6571161649376154
desta2-8b,SCOTTISH ENGLISH,5.0,5.358924384117127,6.303674893081189,0.6914883986860514,0.6601104008406401
desta2-8b,SINGAPOREAN ENGLISH,1.0,10.309747606813907,10.554964520931243,0.5090196897089482,0.4990196897089481
desta2-8b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.0,6.237928955554962,6.237928955554962,0.6070700472593308,0.6070700472593308
desta2-8b,UNITED STATES ENGLISH,2.0,6.317583668231964,6.73870008111,0.6428574195504189,0.6320473796129227
phi4multimodal,AUSTRALIAN ENGLISH,21.0,6.170768389999867,8.003293214142323,0.9070390376448632,0.7057991436123848
phi4multimodal,CANADIAN ENGLISH,24.0,7.6025045192241665,8.835093044042587,0.91123683989048,0.7007369515299797
phi4multimodal,ENGLAND ENGLISH,43.0,11.72801972925663,13.846267181038856,0.8832445785403251,0.4671672639250755
phi4multimodal,FILIPINO,21.0,6.450756980329752,7.878468598276377,0.9064450584352016,0.7089012740552425
phi4multimodal,GERMAN ENGLISH NON NATIVE SPEAKER,15.0,5.818434255421161,6.4938014140725135,0.9163417403399944,0.7713214336335659
phi4multimodal,HONG KONG ENGLISH,28.999999999999996,7.827351597845555,9.87894812732935,0.8897992715239524,0.6068673631548882
phi4multimodal,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,54.0,12.702152509093285,15.91615769803524,0.8623474389314651,0.36548019021749495
phi4multimodal,IRISH ENGLISH,26.0,6.937026693224907,9.289912372231484,0.8834680376946926,0.6507743249833584
phi4multimodal,MALAYSIAN ENGLISH,28.999999999999996,8.34414583325386,10.599337295889855,0.8350532932579517,0.5819645795226097
phi4multimodal,NEW ZEALAND ENGLISH,21.0,7.040974883437157,8.610153757333755,0.8888544063270092,0.6907877616584301
phi4multimodal,SCOTTISH ENGLISH,26.0,7.709681231975555,9.094017562866211,0.9063635444641114,0.6520405572652817
phi4multimodal,SINGAPOREAN ENGLISH,26.0,8.045956762433052,9.796346145272254,0.8960038143396377,0.6535897648334503
