system,en_de,en_es,en_fr,en_it,en_pt,en_zh,de_en,es_en,it_en
aya_canary-v2,1.4285714285714286,4.5,2.5,4.785714285714286,5.357142857142857,0.2857142857142857,3.0,3.5,2.066666666666667
aya_owsm4.0-ctc,2.142857142857143,4.214285714285714,2.7142857142857144,5.142857142857143,5.642857142857143,0.5,3.2,3.5,1.9929824561403506
aya_seamlessm4t,1.6428571428571428,3.9285714285714284,2.357142857142857,4.428571428571429,5.142857142857143,0.0,2.4,3.5,2.466666666666667
aya_whisper,2.0714285714285716,4.357142857142857,2.357142857142857,4.571428571428571,5.214285714285714,0.35714285714285715,3.2,3.8333333333333335,1.6666666666666667
canary-v2,2.9285714285714284,5.285714285714286,2.5714285714285716,5.214285714285714,6.857142857142857,100.0,3.0,3.8333333333333335,3.3929824561403508
desta2-8b,2.2142857142857144,4.714285714285714,2.2857142857142856,4.714285714285714,5.428571428571429,32.214285714285715,4.0,2.6666666666666665,2.126315789473684
gemma_canary-v2,2.2142857142857144,4.785714285714286,1.9285714285714286,5.357142857142857,5.5,0.14285714285714285,3.6,4.166666666666667,2.666666666666667
gemma_owsm4.0-ctc,2.357142857142857,4.571428571428571,2.642857142857143,5.571428571428571,5.428571428571429,0.14285714285714285,4.4,3.8333333333333335,2.2666666666666666
gemma_seamlessm4t,2.4285714285714284,4.428571428571429,2.2857142857142856,4.928571428571429,5.357142857142857,0.21428571428571427,3.4,3.6666666666666665,2.8666666666666667
gemma_whisper,2.7857142857142856,5.285714285714286,2.5,5.214285714285714,6.214285714285714,0.21428571428571427,3.8,3.3333333333333335,2.666666666666667
owsm4.0-ctc,4.428571428571429,40.0,9.071428571428571,16.357142857142858,47.785714285714285,0.5714285714285714,7.0,6.5,4.792982456140351
phi4multimodal,13.071428571428571,15.5,29.357142857142858,9.857142857142858,20.5,5.071428571428571,7.0,11.833333333333334,6.8
qwen2audio-7b,3.9285714285714284,5.642857142857143,3.7857142857142856,4.714285714285714,6.571428571428571,0.9285714285714286,7.0,4.166666666666667,3.266666666666667
seamlessm4t,2.0714285714285716,4.071428571428571,2.5,5.571428571428571,6.285714285714286,0.14285714285714285,3.2,4.333333333333333,2.066666666666667
spirelm,2.642857142857143,5.071428571428571,3.142857142857143,6.142857142857143,6.5,0.21428571428571427,,,
tower_canary-v2,2.642857142857143,5.071428571428571,2.357142857142857,5.571428571428571,6.214285714285714,0.2857142857142857,3.2,4.333333333333333,2.466666666666667
tower_owsm4.0-ctc,2.4285714285714284,5.0,2.5,5.642857142857143,6.214285714285714,0.5714285714285714,5.6,4.666666666666667,2.5929824561403505
tower_seamlessm4t,2.2857142857142856,4.785714285714286,2.357142857142857,5.071428571428571,5.785714285714286,0.42857142857142855,3.4,4.5,2.8666666666666667
tower_whisper,3.142857142857143,5.285714285714286,2.857142857142857,5.5,6.571428571428571,0.42857142857142855,3.4,4.0,2.466666666666667
voxtral-small-24b,3.0,4.214285714285714,2.5714285714285716,5.142857142857143,6.714285714285714,0.21428571428571427,4.6,3.0,2.4
whisper,,,,,,,4.2,3.8333333333333335,2.4526315789473685
