system,en_de,en_es,en_fr,en_it,en_pt,en_zh,de_en,es_en,it_en
aya_canary-v2,1.9982538965104946,3.8662233938436423,3.5606890791867465,3.9714963050665597,4.506515987938536,2.302424433832722,4.180368818581104,3.770947543655833,3.7306516810415085
aya_owsm4.0-ctc,2.7263268725893326,4.5920411468057765,4.329013413914613,4.871445955721927,5.333129353696214,2.7252553917733686,4.950428523302078,4.249458172942202,4.032383307711074
aya_seamlessm4t,1.5044093762790518,3.0509068108882222,2.816697168903691,3.2709474391330566,3.790032997591687,1.9595715234322209,4.257906241595745,3.933489659751455,3.6009925980641126
aya_whisper,2.5398953549856587,4.292089168043541,4.050941301605532,4.453287170979062,4.970633253660053,2.5705853581162437,4.49790177565813,4.075352932686607,3.619606533034852
canary-v2,2.984263016286173,4.624902522630458,4.243557205700449,4.6362980342656375,5.401525093503296,25.0,5.14709418040514,4.499405175273617,4.776585643410682
desta2-8b,5.429753630946258,7.5734100567309985,7.092703000551888,8.127678058336356,8.498151331501349,11.633733219163759,7.832443640172483,6.575822232340773,6.531968237003736
gemma_canary-v2,2.290249925061528,3.8785911068027574,3.38686249977776,4.124701638293586,4.6305450899899006,2.2924930479430725,4.541144218564034,4.0675416448464,3.9813972751341367
gemma_owsm4.0-ctc,2.909960085555379,4.644587289736207,4.288982008472085,4.848499480879732,5.389515586279865,2.6280529938771258,5.430326368629933,4.453182323550185,4.260157466396951
gemma_seamlessm4t,1.7923959833250513,3.1052817260527186,2.7971106564360007,3.364298365496631,3.905890659434455,2.007657288507159,4.578080504059791,4.089047000134985,3.801142732639062
gemma_whisper,2.8022473932616414,4.388407937700728,4.0205069863476925,4.508718690334686,5.197469166466701,2.596234138908663,4.838938197612762,4.1918101740131775,3.9895699286753668
owsm4.0-ctc,7.200385110886502,16.628823671080173,12.251184327197928,13.545678497999907,18.3854827250966,5.780889985705061,13.37712049794197,9.879029377773405,10.742511720674079
phi4multimodal,5.025894788006054,6.756570524158223,10.135102212311965,6.046396932096354,8.792036711898232,3.9269379457325804,5.774555400311947,6.068604146217306,5.045375471722662
qwen2audio-7b,4.1108304675428995,5.879833215368646,5.466925680472383,6.055347315384341,6.680952113582087,3.1977577639876733,7.4507019960880285,5.581147333358725,5.417837280269255
seamlessm4t,1.8752281965448387,3.3888023583218456,3.1464127936160993,3.7748177808549785,4.38149141151458,3.0638599122342254,4.953838789343834,4.385508112336199,4.056088116777571
spirelm,5.050840408198003,7.269793030640909,7.041530675888062,7.553877530260278,8.22025306279904,4.587595741216625,,,
tower_canary-v2,2.3173582774986117,4.017912389332695,3.569508081727794,4.088602258286306,4.739731422654752,2.1686003449106854,4.240914705514908,3.9719931760678686,3.8966045517513628
tower_owsm4.0-ctc,2.8678415538929403,4.834427019533302,4.3931661421167,4.998286504689604,5.615223497708461,2.699204821711672,5.3802175337076195,4.413777865792314,4.460303942106272
tower_seamlessm4t,1.6704156460506574,3.2616410429722498,2.877784844030227,3.3654028652688224,3.9674905954860153,1.9371538555861585,4.369176987707616,4.166946807727218,3.641496416408765
tower_whisper,2.8126680137190436,4.484431542937776,4.207299433446356,4.587272435080792,5.299389034118503,2.5658633911263733,4.417316368341446,4.099605554714799,3.9530490537944596
voxtral-small-24b,2.3392485077386453,3.7218840762147947,3.558134905637375,4.1148929582376566,4.949830604629326,2.473548312038183,4.8036137331724165,3.831351199820638,3.8944925944812985
whisper,,,,,,,6.786499008238316,5.443360833649834,5.700103760249782
