system,en_de,en_es,en_fr,en_it,en_pt,en_zh,de_en,es_en,it_en
aya_canary-v2,1.6628288278010275,2.9105810855914442,3.021013765537313,2.9390229136709656,3.402846922275743,2.2473021203332713,3.5708082817196845,3.048124057725072,3.25995577483951
aya_owsm4.0-ctc,2.294762488364109,3.7429179851364873,3.789447761401534,3.8121269183366424,4.241459541898221,2.6236374693310687,4.301395684361458,3.550171153967579,3.580748193911293
aya_seamlessm4t,1.1220306100350406,2.1600648340795723,2.3002160715418207,2.2596674684541567,2.7017520786742013,1.9595715234322209,3.776642414748669,3.2174967337896425,3.1086389474544607
aya_whisper,2.1011581068512584,3.4152368711547125,3.5525264197694404,3.4995067472197117,3.956035282901887,2.518074590792613,3.8497925656437872,3.3419872195273634,3.2465165804070337
canary-v2,2.342104429924594,3.5107948124541766,3.734913774175303,3.583221161769969,4.03872083001371,21.995627124671422,4.605425623238086,3.769292707666755,4.05692037023996
desta2-8b,4.985549231711775,6.74426610850596,6.6920039942328415,7.3383018371223345,7.631918137690851,8.438002066910267,7.227429495751858,6.104864391461015,6.209453760051936
gemma_canary-v2,1.7990533296524414,2.864576608051679,2.9694843288404598,3.0121958777654387,3.483558739381177,2.265425263361207,3.8363142485618598,3.226499996061127,3.4300897240283197
gemma_owsm4.0-ctc,2.398237366418221,3.725453525656568,3.7510391447054485,3.746265211696071,4.308688904172075,2.6015593455864914,4.636193399250507,3.7174713768313326,3.823102750604613
gemma_seamlessm4t,1.2126856782154312,2.1257384110614654,2.3041797880402632,2.2487882369570436,2.757105317137071,1.960425002769168,3.9463837329149243,3.3867764692753553,3.2200337851633107
gemma_whisper,2.1903950284128744,3.38186974286767,3.514582565480045,3.472893981145961,4.01221902893324,2.5617520126727014,4.146004667162895,3.5349254240840673,3.4739105650876696
owsm4.0-ctc,6.44092452836622,11.479905175923237,10.996541386353117,11.456936101892165,12.474099175248826,5.693430568208652,12.588910532712935,8.95147838162879,10.060287172166925
phi4multimodal,3.7369213270741914,4.964206928930112,8.265208664163946,4.4185682702117735,6.479585057544922,3.307577407948141,4.651685490310192,4.785196199590961,4.361314582597791
qwen2audio-7b,3.3401381052258823,4.931345471846206,4.83663492486413,5.236752116799886,5.515281718237591,3.1149331310364814,6.3102690336704255,4.837437364632884,4.911873141721675
seamlessm4t,1.404155332661633,2.488833385764488,2.614856220659401,2.5554384500666387,3.0261162590927313,3.0410170649550854,4.3279432193040845,3.5049943574517965,3.6028345513071933
spirelm,4.510941306722484,6.350438566112092,6.4825299225534705,6.472345939302551,7.131146454063377,4.540328895258052,,,
tower_canary-v2,1.733507370767849,2.9414556124540314,3.0574522143176623,2.9059281231782266,3.457310453049306,2.1188629138443087,3.5888070824146268,3.0930311486373347,3.347856214005696
tower_owsm4.0-ctc,2.348564034107008,3.8424695807003553,3.87503931801234,3.840009947991265,4.3689514704288115,2.608936184514314,4.3305156360864645,3.488912023926775,3.9202944588441597
tower_seamlessm4t,1.134555116205343,2.1894553469174673,2.3591176611504383,2.2188683159197016,2.7108987550570496,1.847498077859304,3.6686909042000773,3.3029103400558237,3.101428972044535
tower_whisper,2.1181405086096907,3.4427695966857885,3.633276480670486,3.4767748282903006,4.019605432208627,2.472043247443757,3.775673970460892,3.2926768338431915,3.471524216300563
voxtral-small-24b,1.6762789766197757,2.836886955129781,3.035509385280311,3.029206358412547,3.6060019648367807,2.4335559139294283,3.912241645336151,3.2273050122211377,3.428945416093657
whisper,,,,,,,6.0936916251778594,4.681761342609922,5.2636328910599675
