system,en_de,en_es,en_fr,en_it,en_pt,en_zh,de_en,es_en,it_en
aya_canary-v2,0.9583767072537116,0.914265281685761,0.893630181705313,0.908566134880696,0.9187845491617919,0.8824731883087329,0.8942394193708896,0.8974221357703209,0.8722791839456349
aya_owsm4.0-ctc,0.9382538317356791,0.881060524848955,0.8493661162895816,0.8730130966805987,0.8851217729278973,0.8537105112629277,0.8558776655346154,0.8726770801469684,0.8576972520529178
aya_seamlessm4t,0.9742884626665286,0.9471740619731801,0.9359126028205668,0.9413957350222127,0.9484996909382087,0.9021088079895291,0.8859112691879272,0.888518004703025,0.8807171521829931
aya_whisper,0.9407567014172672,0.8891142816202982,0.8639061931813402,0.8831027336844376,0.8941090209143503,0.8605097267936382,0.8779374703019858,0.8804643007988732,0.8687921166349397
canary-v2,0.9448481129535607,0.9043692079612187,0.8737163074580687,0.8891817696232882,0.9070828490145504,0.9467922536070859,0.8758438885360956,0.877854952737689,0.8483236543444688
desta2-8b,0.8297768326422998,0.7213069965104972,0.617960810320718,0.6683258792545114,0.7334466536077006,0.5108997784448521,0.6311232154220343,0.658213244403402,0.6363863753339831
gemma_canary-v2,0.9545487667247653,0.9082490566213216,0.8818104323691556,0.900179374393608,0.9157870018269334,0.8800970441635165,0.879415381371975,0.8882277150452137,0.8713333534451954
gemma_owsm4.0-ctc,0.9364421116667134,0.877403162451727,0.8433465076982974,0.8670601585667048,0.8844597997303519,0.85114986553256,0.8383907117545604,0.8661052691439788,0.8472568584066211
gemma_seamlessm4t,0.97391663393804,0.9449932742491365,0.9287212229094335,0.9355369128659368,0.9465956840770585,0.9014529663537231,0.8794785806238652,0.883550398349762,0.8800036740326569
gemma_whisper,0.9366373732845698,0.8870131869560905,0.8539936665285911,0.8740511348950012,0.8917391455279928,0.8548993474085416,0.8630616000294685,0.8643582088624439,0.8638596020743512
owsm4.0-ctc,0.8541086002652134,0.5843488209588187,0.5211391755672438,0.5672022133001259,0.5430371944712741,0.70702202825674,0.48658493885397913,0.6360081629827619,0.5462471491171603
phi4multimodal,0.9446926976580705,0.9075237490609289,0.8882190479763917,0.8816604901530913,0.8932698199685131,0.8574847508860486,0.8716962398737669,0.8983025108774503,0.8769932986827274
qwen2audio-7b,0.911943257940667,0.8410451225563884,0.8057163414997713,0.8212555267874684,0.8447402959157314,0.8259098000984108,0.7477243868261576,0.8175366001079479,0.754156002840452
seamlessm4t,0.9696074310424072,0.9457312164455651,0.9301874113402196,0.9346177156375987,0.9445806716755032,0.8576159984245896,0.8713111438453197,0.8945330421750745,0.8710680421250954
spirelm,0.8460967334253447,0.7731928320388708,0.7153007062897087,0.7509177224604147,0.7800514223054051,0.7004430909454823,,,
tower_canary-v2,0.9578042306272048,0.9172891118483885,0.8945907763923918,0.9120578942075371,0.9216841453260608,0.8913950420490334,0.8969395336955787,0.8984461441387733,0.8732835238489665
tower_owsm4.0-ctc,0.9352088742703198,0.882200103189264,0.8533597244056208,0.8734935139545373,0.8851773459145001,0.8598187754303217,0.8525462635606527,0.8818468996634086,0.8501275444718306
tower_seamlessm4t,0.9743325822214995,0.9498021783147539,0.9366921878499644,0.9433029734822257,0.9533050346374512,0.9126451438346079,0.8891661255955696,0.89154558972766,0.8814489471005243
tower_whisper,0.939362095871142,0.892946969206844,0.8646101513345327,0.8851931465044618,0.8958720657974482,0.8653716624634606,0.8761704771965743,0.8863949509958426,0.8636557498318063
voxtral-small-24b,0.9515783319356187,0.9092215208815677,0.8909551769761103,0.9001121787035039,0.9129520131807242,0.8730708902009896,0.8839621515274049,0.8954756241540114,0.8681369554450115
whisper,,,,,,,0.7954637597501277,0.8409641282260418,0.7855976221681686
