system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,1.4036,3.683,1.7063,3.6443,3.6186,3.5993,0.4056,4.0486,4.213,4.5581,2.436,11.8007
aya_owsm4.0-ctc,1.526,3.5799,1.5646,3.6379,3.7409,3.5349,0.8435,4.1448,4.387,4.4129,2.1129,8.8199
aya_seamlessm4t,1.3843,3.831,1.5711,3.625,3.5735,3.5027,0.3413,4.1374,4.1827,4.3682,2.0134,8.7178
aya_whisper,1.5646,3.5787,1.7385,3.7152,3.8826,3.6958,0.5666,4.1966,4.4172,4.5246,2.1626,8.0849
canary-v2,1.9703,4.4363,2.5047,4.1723,4.7003,4.5715,100.0,4.6629,4.387,5.5189,2.8088,55.3287
desta2-8b,2.0089,4.0757,1.9896,3.6701,4.2946,4.2818,36.6493,4.3964,3.744,3.5527,2.5106,5.1654
gemma_canary-v2,1.4873,4.1916,1.9252,3.9341,3.8117,4.0757,0.2254,4.5963,4.6744,5.4854,2.6846,60.0857
gemma_owsm4.0-ctc,1.3328,4.095,1.9381,3.831,3.8826,4.1337,0.1867,4.7443,4.8635,5.6418,2.3614,10.2491
gemma_seamlessm4t,1.3071,4.05,1.7771,3.8632,3.8439,3.9856,0.1417,4.6629,4.4702,5.1838,2.1129,10.2695
gemma_whisper,1.5195,4.1015,2.0089,3.9598,4.095,4.2367,0.1932,4.6777,4.9089,5.6195,2.3117,9.2691
owsm4.0-ctc,2.4467,37.5571,9.1108,14.9829,12.2722,41.0276,0.4056,8.3488,6.2249,7.7086,4.1014,22.1519
phi4multimodal,29.7083,29.9208,51.8705,17.7452,31.846,35.6706,13.1737,12.76,17.1621,11.697,4.7228,38.4238
qwen2audio-7b,3.3997,5.2604,3.1872,4.4556,5.2733,5.0222,0.9465,5.7805,5.1358,6.9043,3.3308,12.597
qwen3omni,1.7191,3.8568,1.9381,3.8632,4.0628,3.8504,0.206,4.9219,4.9845,5.7982,2.1129,11.9437
seamlessm4t,1.5646,3.2838,1.7449,3.7989,4.4749,5.0866,0.1867,4.2484,4.1827,3.7873,2.0631,5.9412
spirelm,2.1763,4.0435,2.466,3.9727,4.5071,4.4492,0.0515,,,,,
tower_canary-v2,1.6805,3.9534,2.1183,3.9727,4.1015,4.4041,0.206,4.5815,4.7122,5.7424,2.7094,71.8865
tower_owsm4.0-ctc,1.6483,3.8761,2.202,3.9663,4.1015,4.3011,0.2125,4.8183,4.7803,5.6977,2.3614,10.5962
tower_seamlessm4t,1.5839,3.8632,2.0024,3.8182,3.9212,4.1208,0.1867,4.8035,4.4777,5.4407,2.1377,10.5145
tower_whisper,1.7642,3.8954,2.1634,3.9663,4.4363,4.3397,0.2189,4.7739,4.7349,5.9323,2.262,9.0853
voxtral-small-24b,2.3179,3.9856,2.2922,4.0113,4.4105,4.3655,0.5087,5.329,4.7349,6.2228,2.3863,11.9845
whisper,,,,,,,,5.551,5.1206,6.3121,2.6348,11.6782
