system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,2.262,3.9117,3.6501,3.9877,3.8143,4.3303,2.2414,4.3276,4.1923,4.4381,4.0745,16.7437
aya_owsm4.0-ctc,2.6338,4.3884,4.0976,4.48,4.2727,4.8707,2.5445,4.8147,4.6254,4.8456,3.6387,5.8224
aya_seamlessm4t,1.8272,3.3954,3.0732,3.4661,3.2756,3.7523,1.9576,4.3784,4.2109,4.3831,3.5044,5.39
aya_whisper,2.5279,4.4836,3.9984,4.3355,4.1599,4.7197,2.4295,4.4001,4.3625,4.5467,3.3381,5.9917
canary-v2,2.9389,4.6283,4.4707,4.6643,4.6003,5.0672,25.0,5.7577,4.8438,5.4607,5.1455,23.162
desta2-8b,5.1436,7.2904,7.032,7.6855,7.4425,8.0894,12.2178,7.6783,6.9542,8.0868,6.0838,8.4192
gemma_canary-v2,2.3253,3.9991,3.7106,4.0459,3.8913,4.5155,2.2094,4.6469,4.3881,4.7565,4.2313,22.9782
gemma_owsm4.0-ctc,2.705,4.4946,4.2129,4.5057,4.4239,5.0864,2.4595,5.2166,4.8624,5.2972,3.8443,6.4403
gemma_seamlessm4t,1.8666,3.4357,3.1347,3.5381,3.4016,3.9517,1.9213,4.6888,4.3633,4.6564,3.5965,5.8571
gemma_whisper,2.5604,4.3047,4.0624,4.3691,4.2732,4.9019,2.3869,4.6836,4.5545,4.8977,3.4499,6.4332
owsm4.0-ctc,6.2494,16.0644,12.1523,13.0415,12.6796,17.2234,5.0642,13.9689,9.9102,11.6046,9.81,19.7616
phi4multimodal,9.0187,10.0472,15.0485,7.9165,11.8955,12.2449,5.5214,6.771,7.337,6.2843,4.0735,11.823
qwen2audio-7b,4.1589,6.0157,5.579,6.1541,6.4969,6.438,2.9889,7.1252,5.905,6.7674,5.3859,6.4984
qwen3omni,2.0567,3.6014,3.443,3.6989,3.7283,4.0553,1.94,4.3285,4.1328,4.4992,3.2051,4.9838
seamlessm4t,2.1777,3.5967,3.4827,3.7605,3.7607,4.5218,3.0468,5.1551,4.6519,4.8128,3.788,6.3393
spirelm,5.8816,8.1541,7.9974,8.3005,7.7809,9.0304,4.991,,,,,
tower_canary-v2,2.3252,3.9954,3.7951,4.0503,3.8044,4.603,2.1487,4.3886,4.2812,4.6591,4.1268,22.9997
tower_owsm4.0-ctc,2.7199,4.503,4.3066,4.5652,4.2823,5.1356,2.4498,4.9809,4.7197,5.1175,3.7142,6.1648
tower_seamlessm4t,1.8865,3.4211,3.2288,3.4939,3.2666,3.9542,1.8649,4.4923,4.2614,4.5385,3.5073,5.7066
tower_whisper,2.5773,4.3071,4.1178,4.3571,4.1927,4.9216,2.3365,4.4768,4.4217,4.7991,3.3215,6.2083
voxtral-small-24b,2.4691,4.0277,3.8831,4.1289,4.0674,4.6771,2.3718,4.6868,4.2343,4.7782,3.378,7.7433
whisper,,,,,,,,7.0576,5.7859,6.7059,4.3532,10.0767
