system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,1.9774,2.0578,3.5598,3.6525,3.7772,3.6239,17.0633
aya_owsm4.0-ctc,2.3417,2.2917,4.0903,4.1215,4.2403,3.1823,5.1468
aya_seamlessm4t,1.5221,1.7906,3.6159,3.7025,3.7615,3.0072,4.6369
aya_whisper,2.2223,2.203,3.5921,3.7959,3.8843,2.8218,5.4819
canary-v2,2.6202,16.0486,5.0626,4.279,4.6333,4.7286,20.2277
desta2-8b,4.8972,6.4644,7.362,6.9666,8.1145,6.0087,9.2555
gemma_canary-v2,2.0887,2.0899,3.8335,3.7837,3.9526,3.8258,19.7566
gemma_owsm4.0-ctc,2.4869,2.3338,4.458,4.2909,4.4874,3.3791,5.6509
gemma_seamlessm4t,1.6253,1.8073,3.8929,3.8182,3.9224,3.1417,4.9729
gemma_whisper,2.3291,2.25,3.8737,3.9176,4.0547,2.9498,5.8652
owsm4.0-ctc,6.111,4.7475,13.2495,9.4484,10.906,9.8547,18.3109
phi4multimodal,5.9176,3.3334,4.7501,5.5062,4.8344,3.2974,5.8845
qwen2audio-7b,3.8182,2.7911,6.7382,5.5825,6.1742,5.3327,5.6995
qwen3omni,1.7082,1.7169,3.3581,3.343,3.4717,2.6694,3.4101
seamlessm4t,1.8641,2.9216,4.5034,4.1098,4.3925,3.294,6.7604
spirelm,5.6606,4.6751,,,,,
tower_canary-v2,2.0081,1.9734,3.5278,3.6117,3.725,3.6375,19.2477
tower_owsm4.0-ctc,2.4116,2.2523,4.1546,4.1262,4.2351,3.1828,5.1971
tower_seamlessm4t,1.5335,1.6895,3.5984,3.6697,3.6733,2.909,4.6224
tower_whisper,2.2409,2.138,3.5691,3.7396,3.7966,2.7474,5.4877
voxtral-small-24b,2.0547,2.1118,3.6979,3.4854,3.7475,2.8445,7.4391
whisper,,,6.4212,5.2532,5.8915,3.7395,9.4696
