system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,32.7329,36.4145,36.1079,39.1207,33.4437,47.2553,0.1006
aya_owsm4.0-ctc,31.5364,34.1466,34.6654,37.5482,31.4639,47.6917,18.3667
aya_seamlessm4t,34.7268,37.7321,36.0473,38.9322,35.3301,49.2695,18.6413
aya_whisper,32.0546,35.0977,35.4969,38.5922,32.9242,48.4551,17.4938
canary-v2,33.0355,0.1581,38.4851,41.7368,39.0678,48.7816,0.1795
desta2-8b,10.3392,8.86,24.0921,26.7954,18.4489,36.4572,11.8349
gemma_canary-v2,30.8613,35.3387,35.2458,25.369,34.026,46.402,0.1766
gemma_owsm4.0-ctc,30.1412,34.5679,34.125,36.5686,31.6293,47.1356,18.8148
gemma_seamlessm4t,32.5072,36.5765,35.3836,38.0114,34.7642,48.4264,19.808
gemma_whisper,29.9175,34.0066,34.9104,37.4786,32.9143,47.3474,18.563
owsm4.0-ctc,27.999,35.1534,21.94,31.5699,26.7353,34.1257,3.7058
phi4multimodal,27.4235,41.5561,37.5324,37.3035,38.9802,53.2566,18.782
qwen2audio-7b,24.1853,37.2093,27.5195,33.3537,30.5018,40.5323,19.296
qwen3omni,36.7729,47.6633,42.1129,43.1514,40.7702,54.3118,26.4893
seamlessm4t,37.1493,36.5111,39.9496,42.9236,39.8647,53.8359,21.8881
spirelm,18.2991,18.3963,,,,,
tower_canary-v2,35.8777,43.6704,39.8247,41.5111,39.2691,51.259,0.0509
tower_owsm4.0-ctc,35.037,42.7778,38.4546,40.1894,37.8153,51.5524,22.2452
tower_seamlessm4t,37.6987,45.2469,39.8298,41.4225,39.3264,52.483,23.1993
tower_whisper,34.7436,42.8584,39.3677,40.6489,38.5978,50.033,22.0192
voxtral-small-24b,34.4971,41.9544,41.893,43.2935,39.0547,54.7696,11.4049
whisper,,,34.2754,39.0607,35.6994,50.0851,12.6007
