system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9232,0.8549,0.8306,0.8354,0.8811,0.8596,0.8631,0.849,0.8507,0.8162,0.8186,0.1677
aya_owsm4.0-ctc,0.9108,0.8356,0.8049,0.815,0.8644,0.8405,0.8435,0.8232,0.829,0.794,0.8389,0.7433
aya_seamlessm4t,0.9412,0.8801,0.8638,0.8644,0.9036,0.8852,0.8874,0.8497,0.8504,0.8237,0.8522,0.7626
aya_whisper,0.9096,0.8269,0.8095,0.8181,0.8645,0.8417,0.8475,0.8453,0.84,0.8079,0.8551,0.7197
canary-v2,0.9074,0.8351,0.8064,0.8141,0.8566,0.8408,0.0,0.8127,0.8335,0.7852,0.7869,0.0613
desta2-8b,0.7967,0.6861,0.5996,0.638,0.7283,0.6909,0.427,0.5868,0.6175,0.5248,0.6153,0.5168
gemma_canary-v2,0.919,0.8456,0.8146,0.8219,0.8732,0.8482,0.8553,0.8388,0.8422,0.8039,0.8101,0.0602
gemma_owsm4.0-ctc,0.9071,0.8263,0.7896,0.804,0.8555,0.8279,0.8367,0.81,0.8186,0.7752,0.8313,0.7199
gemma_seamlessm4t,0.9381,0.8739,0.8501,0.8516,0.8965,0.8749,0.8824,0.8399,0.8428,0.8119,0.846,0.7428
gemma_whisper,0.9051,0.831,0.7948,0.8053,0.8563,0.8311,0.8397,0.8353,0.8316,0.795,0.8481,0.7094
owsm4.0-ctc,0.8203,0.3704,0.4522,0.468,0.5735,0.3248,0.7079,0.4267,0.6015,0.4905,0.5705,0.2043
phi4multimodal,0.6603,0.6247,0.4052,0.7013,0.5816,0.5578,0.741,0.7631,0.7354,0.7658,0.8329,0.5144
qwen2audio-7b,0.8549,0.7648,0.7299,0.7427,0.7795,0.7808,0.7991,0.6914,0.758,0.6932,0.7436,0.6934
qwen3omni,0.9298,0.8711,0.8455,0.8486,0.8846,0.8732,0.8831,0.855,0.8578,0.8254,0.8629,0.7854
seamlessm4t,0.9344,0.8812,0.8561,0.8552,0.889,0.8624,0.8403,0.8293,0.8429,0.814,0.8485,0.7477
spirelm,0.7576,0.6666,0.6093,0.6399,0.6983,0.669,0.6357,,,,,
tower_canary-v2,0.9214,0.854,0.8265,0.8311,0.8771,0.8515,0.8662,0.8496,0.8484,0.8118,0.8178,0.0448
tower_owsm4.0-ctc,0.9088,0.8347,0.8011,0.8098,0.8602,0.8319,0.8467,0.8214,0.8273,0.7866,0.8354,0.734
tower_seamlessm4t,0.9394,0.8812,0.8606,0.8596,0.9001,0.8791,0.8919,0.8471,0.8502,0.8186,0.8541,0.7557
tower_whisper,0.9074,0.8384,0.8077,0.8141,0.8585,0.8361,0.8491,0.8438,0.839,0.8015,0.8551,0.7237
voxtral-small-24b,0.9087,0.8412,0.8167,0.8207,0.8642,0.845,0.8513,0.8327,0.8511,0.8036,0.85,0.6514
whisper,,,,,,,,0.748,0.7923,0.7299,0.8171,0.5785
