system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9354,0.8827,0.8426,0.8614,0.9119,0.8875,0.8653,0.884,0.8862,0.8532,0.8327,0.189
aya_owsm4.0-ctc,0.9231,0.8627,0.8156,0.8405,0.894,0.8672,0.8469,0.8574,0.8643,0.8284,0.8534,0.8149
aya_seamlessm4t,0.9536,0.9108,0.8756,0.8925,0.9348,0.9143,0.8894,0.8847,0.884,0.8583,0.8672,0.8312
aya_whisper,0.9223,0.8524,0.8211,0.8438,0.8956,0.869,0.8498,0.8807,0.876,0.844,0.871,0.7803
canary-v2,0.9239,0.867,0.8229,0.8423,0.8957,0.8752,0.934,0.8516,0.8697,0.8295,0.8035,0.1727
desta2-8b,0.8097,0.7102,0.6091,0.6554,0.756,0.7151,0.4929,0.6126,0.637,0.5383,0.6253,0.542
gemma_canary-v2,0.9312,0.8757,0.8277,0.8491,0.9051,0.8784,0.8565,0.8774,0.8809,0.8477,0.8252,0.166
gemma_owsm4.0-ctc,0.9182,0.8553,0.802,0.8292,0.8872,0.8574,0.8377,0.8482,0.857,0.819,0.8478,0.8009
gemma_seamlessm4t,0.95,0.9054,0.8632,0.8812,0.9298,0.9073,0.8833,0.8781,0.879,0.8527,0.8616,0.8225
gemma_whisper,0.917,0.8594,0.8079,0.8314,0.889,0.8613,0.8407,0.8737,0.8712,0.8398,0.865,0.7763
owsm4.0-ctc,0.8377,0.5483,0.4863,0.5281,0.6433,0.5055,0.7093,0.4672,0.6391,0.5361,0.5893,0.2795
phi4multimodal,0.9384,0.9018,0.8937,0.861,0.8727,0.8868,0.8588,0.8808,0.8891,0.8682,0.8733,0.8424
qwen2audio-7b,0.8836,0.8039,0.7515,0.7739,0.8213,0.8178,0.8065,0.7317,0.7946,0.7416,0.7663,0.7867
qwen3omni,0.9445,0.9008,0.859,0.8776,0.9198,0.9032,0.8846,0.8972,0.8993,0.8739,0.8793,0.8823
seamlessm4t,0.9482,0.9077,0.8691,0.8839,0.928,0.9031,0.8417,0.8652,0.8763,0.8413,0.8623,0.7939
spirelm,0.7717,0.6895,0.6221,0.6606,0.7276,0.6931,0.6359,,,,,
tower_canary-v2,0.9356,0.8829,0.8409,0.8593,0.9119,0.8847,0.8673,0.8887,0.8873,0.8582,0.8339,0.1793
tower_owsm4.0-ctc,0.9226,0.8628,0.8152,0.8379,0.8942,0.8637,0.8479,0.8603,0.8646,0.8313,0.852,0.821
tower_seamlessm4t,0.9536,0.9126,0.8753,0.8896,0.9349,0.9133,0.8932,0.8868,0.8857,0.8622,0.8697,0.8382
tower_whisper,0.9217,0.866,0.8216,0.8415,0.8946,0.8675,0.8503,0.8839,0.8772,0.8483,0.872,0.791
voxtral-small-24b,0.9278,0.8701,0.8323,0.8483,0.901,0.8778,0.855,0.8778,0.891,0.8534,0.8689,0.7342
whisper,,,,,,,,0.7899,0.8305,0.7775,0.8364,0.6502
