system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9186,0.8765,0.873,0.8633,0.8395,0.8575,0.1619
aya_owsm4.0-ctc,0.9059,0.8566,0.8513,0.8446,0.8204,0.8767,0.7053
aya_seamlessm4t,0.937,0.8978,0.8717,0.8619,0.8433,0.8859,0.7261
aya_whisper,0.9043,0.8603,0.8696,0.8545,0.8314,0.8902,0.6851
canary-v2,0.901,0.0,0.8307,0.8472,0.8084,0.8236,0.0595
desta2-8b,0.7812,0.4406,0.6613,0.6786,0.5971,0.7022,0.5037
gemma_canary-v2,0.9132,0.8703,0.8613,0.8565,0.827,0.8493,0.0578
gemma_owsm4.0-ctc,0.9004,0.8528,0.8369,0.8368,0.8037,0.8693,0.6779
gemma_seamlessm4t,0.9333,0.894,0.8608,0.8563,0.8327,0.8805,0.7021
gemma_whisper,0.8991,0.8552,0.8587,0.8473,0.8196,0.8833,0.6698
owsm4.0-ctc,0.8113,0.7387,0.4868,0.6423,0.5431,0.6319,0.1861
phi4multimodal,0.6556,0.7549,0.7796,0.743,0.7799,0.8647,0.4819
qwen2audio-7b,0.8403,0.8136,0.7263,0.779,0.7235,0.7843,0.6551
qwen3omni,0.9256,0.8982,0.8745,0.8705,0.8452,0.8973,0.7542
seamlessm4t,0.9289,0.8525,0.8453,0.8536,0.8317,0.8789,0.6918
spirelm,0.7434,0.6516,,,,,
tower_canary-v2,0.9165,0.8837,0.8703,0.8616,0.834,0.8558,0.0438
tower_owsm4.0-ctc,0.9037,0.8654,0.8456,0.8439,0.8137,0.8736,0.6965
tower_seamlessm4t,0.9353,0.9062,0.8669,0.8619,0.8384,0.8867,0.7176
tower_whisper,0.9025,0.8675,0.8654,0.8543,0.8251,0.8903,0.6867
voxtral-small-24b,0.9023,0.8671,0.8547,0.8654,0.8266,0.8853,0.5972
whisper,,,0.7735,0.8066,0.7525,0.8551,0.5302
