system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9307,0.8785,0.9087,0.8997,0.8759,0.8732,0.1818
aya_owsm4.0-ctc,0.9181,0.8598,0.8866,0.8805,0.8549,0.893,0.7681
aya_seamlessm4t,0.9494,0.8997,0.9072,0.8963,0.8779,0.9017,0.7855
aya_whisper,0.9168,0.8626,0.906,0.8913,0.8674,0.9078,0.7382
canary-v2,0.917,0.9069,0.8699,0.8842,0.8517,0.8416,0.1655
desta2-8b,0.7939,0.5231,0.6889,0.6997,0.6113,0.715,0.5251
gemma_canary-v2,0.9253,0.8715,0.9009,0.896,0.8701,0.8657,0.1531
gemma_owsm4.0-ctc,0.9114,0.8539,0.8761,0.876,0.8475,0.8877,0.7465
gemma_seamlessm4t,0.945,0.895,0.8997,0.8934,0.8731,0.8966,0.7691
gemma_whisper,0.9108,0.8563,0.8983,0.8878,0.8636,0.9018,0.7272
owsm4.0-ctc,0.8284,0.7405,0.5299,0.6822,0.5888,0.6541,0.2494
phi4multimodal,0.8912,0.8672,0.8952,0.8911,0.8738,0.9036,0.7659
qwen2audio-7b,0.8665,0.8205,0.7669,0.8159,0.7701,0.8078,0.7294
qwen3omni,0.9401,0.8997,0.9174,0.9127,0.893,0.9148,0.837
seamlessm4t,0.9425,0.8538,0.8814,0.8878,0.8586,0.8937,0.7295
spirelm,0.7565,0.6519,,,,,
tower_canary-v2,0.9305,0.8848,0.9101,0.9013,0.8796,0.8733,0.1644
tower_owsm4.0-ctc,0.9175,0.8666,0.8855,0.8821,0.8581,0.892,0.7704
tower_seamlessm4t,0.9495,0.9075,0.9073,0.8983,0.8815,0.9033,0.7878
tower_whisper,0.9165,0.8686,0.9066,0.8935,0.8715,0.9089,0.7447
voxtral-small-24b,0.9206,0.8706,0.9006,0.9059,0.876,0.9055,0.6633
whisper,,,0.8162,0.8452,0.7991,0.8761,0.5899
