system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,59.956,33.1264,62.004,64.6163,62.1229,67.7335,11.0016
aya_owsm4.0-ctc,58.9429,31.681,60.8378,63.6228,60.8169,68.4826,48.8463
aya_seamlessm4t,61.2994,34.2615,61.971,64.5608,62.9233,69.2529,49.4385
aya_whisper,59.2534,32.363,61.5708,63.975,61.6502,69.1455,47.9232
canary-v2,59.2315,5.4694,62.339,66.1518,63.8412,68.2463,11.5919
desta2-8b,42.7639,10.169,52.6933,57.0561,50.4303,60.6535,39.5873
gemma_canary-v2,57.8425,29.9568,60.7092,62.2686,61.3205,66.5088,9.2491
gemma_owsm4.0-ctc,57.0671,29.4061,59.5372,62.4239,59.774,67.5335,48.0333
gemma_seamlessm4t,59.1142,31.2713,60.7556,63.5828,61.8162,68.3783,48.7851
gemma_whisper,57.0388,29.4658,60.3588,63.1009,60.6435,67.8099,47.189
owsm4.0-ctc,55.0708,29.0347,46.3151,57.7082,53.194,56.7639,17.0391
phi4multimodal,52.0636,35.6915,61.3456,62.5107,64.0446,71.959,39.562
qwen2audio-7b,51.3877,31.0912,54.0637,59.7379,57.5899,62.5633,47.1774
qwen3omni,62.1107,39.3307,65.3271,67.3262,65.9,72.913,55.2676
seamlessm4t,62.1895,29.7015,63.1255,66.8391,64.7176,72.1834,47.7455
spirelm,46.9737,21.5483,,,,,
tower_canary-v2,61.4233,36.7697,64.0933,66.0617,64.5793,70.4847,7.5924
tower_owsm4.0-ctc,60.5132,35.9819,62.8323,65.0431,63.4901,71.118,51.1634
tower_seamlessm4t,62.854,38.3976,64.0872,65.9989,64.8167,71.9811,51.948
tower_whisper,60.5592,36.2243,63.6993,65.3452,64.0502,71.1924,50.1184
voxtral-small-24b,60.3292,37.2069,64.8135,67.5911,65.045,72.7417,39.944
whisper,,,58.3345,64.2284,61.3223,70.1376,38.2573
