direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
de_en,aya_canary-v2,36.1079,62.004,0.9087,0.884,3.5598,3.4758,4.0486,4.4073,4.3276,0.873,0.849
de_en,aya_owsm4.0-ctc,34.6654,60.8378,0.8866,0.8574,4.0903,3.9701,4.1448,4.9305,4.8147,0.8513,0.8232
de_en,aya_seamlessm4t,36.0473,61.971,0.9072,0.8847,3.6159,3.527,4.1374,4.4595,4.3784,0.8717,0.8497
de_en,aya_whisper,35.4969,61.5708,0.906,0.8807,3.5921,3.5197,4.1966,4.4707,4.4001,0.8696,0.8453
de_en,canary-v2,38.4851,62.339,0.8699,0.8516,5.0626,4.8247,4.6629,5.9807,5.7577,0.8307,0.8127
de_en,desta2-8b,24.0921,52.6933,0.6889,0.6126,7.362,6.9125,4.3964,8.1055,7.6783,0.6613,0.5868
de_en,gemma_canary-v2,35.2458,60.7092,0.9009,0.8774,3.8335,3.7062,4.5963,4.7726,4.6469,0.8613,0.8388
de_en,gemma_owsm4.0-ctc,34.125,59.5372,0.8761,0.8482,4.458,4.279,4.7443,5.39,5.2166,0.8369,0.81
de_en,gemma_seamlessm4t,35.3836,60.7556,0.8997,0.8781,3.8929,3.7537,4.6629,4.8182,4.6888,0.8608,0.8399
de_en,gemma_whisper,34.9104,60.3588,0.8983,0.8737,3.8737,3.735,4.6777,4.8225,4.6836,0.8587,0.8353
de_en,owsm4.0-ctc,21.94,46.3151,0.5299,0.4672,13.2495,12.9135,8.3488,14.2823,13.9689,0.4868,0.4267
de_en,phi4multimodal,37.5324,61.3456,0.8952,0.8808,4.7501,4.6742,12.76,6.9298,6.771,0.7796,0.7631
de_en,qwen2audio-7b,27.5195,54.0637,0.7669,0.7317,6.7382,6.1235,5.7805,7.7034,7.1252,0.7263,0.6914
de_en,seamlessm4t,39.9496,63.1255,0.8814,0.8652,4.5034,4.2941,4.2484,5.3524,5.1551,0.8453,0.8293
de_en,tower_canary-v2,39.8247,64.0933,0.9101,0.8887,3.5278,3.442,4.5815,4.4707,4.3886,0.8703,0.8496
de_en,tower_owsm4.0-ctc,38.4546,62.8323,0.8855,0.8603,4.1546,4.0243,4.8183,5.1062,4.9809,0.8456,0.8214
de_en,tower_seamlessm4t,39.8298,64.0872,0.9073,0.8868,3.5984,3.5214,4.8035,4.5637,4.4923,0.8669,0.8471
de_en,tower_whisper,39.3677,63.6993,0.9066,0.8839,3.5691,3.4929,4.7739,4.5538,4.4768,0.8654,0.8438
de_en,voxtral-small-24b,41.893,64.8135,0.9006,0.8778,3.6979,3.5996,5.329,4.7785,4.6868,0.8547,0.8327
de_en,whisper,34.2754,58.3345,0.8162,0.7899,6.4212,6.0413,5.551,7.4203,7.0576,0.7735,0.748
de_en,qwen3omni,42.1129,65.3271,0.9174,0.8972,3.3581,3.3064,4.9219,4.3705,4.3285,0.8745,0.855
