direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_es,aya_canary-v2,,,,0.8827,,3.1399,3.683,,3.9117,,0.8549
en_es,aya_owsm4.0-ctc,,,,0.8627,,3.6458,3.5799,,4.3884,,0.8356
en_es,aya_seamlessm4t,,,,0.9108,,2.5626,3.831,,3.3954,,0.8801
en_es,aya_whisper,,,,0.8524,,3.7578,3.5787,,4.4836,,0.8269
en_es,canary-v2,,,,0.867,,3.7372,4.4363,,4.6283,,0.8351
en_es,desta2-8b,,,,0.7102,,6.5456,4.0757,,7.2904,,0.6861
en_es,gemma_canary-v2,,,,0.8757,,3.1342,4.1916,,3.9991,,0.8456
en_es,gemma_owsm4.0-ctc,,,,0.8553,,3.6637,4.095,,4.4946,,0.8263
en_es,gemma_seamlessm4t,,,,0.9054,,2.5623,4.05,,3.4357,,0.8739
en_es,gemma_whisper,,,,0.8594,,3.4875,4.1015,,4.3047,,0.831
en_es,owsm4.0-ctc,,,,0.5483,,11.148,37.5571,,16.0644,,0.3704
en_es,phi4multimodal,,,,0.9018,,7.2169,29.9208,,10.0472,,0.6247
en_es,qwen2audio-7b,,,,0.8039,,5.1037,5.2604,,6.0157,,0.7648
en_es,seamlessm4t,,,,0.9077,,2.8939,3.2838,,3.5967,,0.8812
en_es,tower_canary-v2,,,,0.8829,,3.1912,3.9534,,3.9954,,0.854
en_es,tower_owsm4.0-ctc,,,,0.8628,,3.7277,3.8761,,4.503,,0.8347
en_es,tower_seamlessm4t,,,,0.9126,,2.5879,3.8632,,3.4211,,0.8812
en_es,tower_whisper,,,,0.866,,3.527,3.8954,,4.3071,,0.8384
en_es,voxtral-small-24b,,,,0.8701,,3.2059,3.9856,,4.0277,,0.8412
en_es,spirelm,,,,0.6895,,7.5032,4.0435,,8.1541,,0.6666
en_es,qwen3omni,,,,0.9008,,2.782,3.8568,,3.6014,,0.8711
