direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_fr,aya_canary-v2,,,,0.8426,,3.3106,1.7063,,3.6501,,0.8306
en_fr,aya_owsm4.0-ctc,,,,0.8156,,3.7901,1.5646,,4.0976,,0.8049
en_fr,aya_seamlessm4t,,,,0.8756,,2.7399,1.5711,,3.0732,,0.8638
en_fr,aya_whisper,,,,0.8211,,3.6641,1.7385,,3.9984,,0.8095
en_fr,canary-v2,,,,0.8229,,4.0009,2.5047,,4.4707,,0.8064
en_fr,desta2-8b,,,,0.6091,,6.7018,1.9896,,7.032,,0.5996
en_fr,gemma_canary-v2,,,,0.8277,,3.3339,1.9252,,3.7106,,0.8146
en_fr,gemma_owsm4.0-ctc,,,,0.802,,3.8499,1.9381,,4.2129,,0.7896
en_fr,gemma_seamlessm4t,,,,0.8632,,2.7652,1.7771,,3.1347,,0.8501
en_fr,gemma_whisper,,,,0.8079,,3.6854,2.0089,,4.0624,,0.7948
en_fr,owsm4.0-ctc,,,,0.4863,,10.9568,9.1108,,12.1523,,0.4522
en_fr,phi4multimodal,,,,0.8937,,11.4908,51.8705,,15.0485,,0.4052
en_fr,qwen2audio-7b,,,,0.7515,,5.0507,3.1872,,5.579,,0.7299
en_fr,seamlessm4t,,,,0.8691,,3.1202,1.7449,,3.4827,,0.8561
en_fr,tower_canary-v2,,,,0.8409,,3.3809,2.1183,,3.7951,,0.8265
en_fr,tower_owsm4.0-ctc,,,,0.8152,,3.9036,2.202,,4.3066,,0.8011
en_fr,tower_seamlessm4t,,,,0.8753,,2.8134,2.0024,,3.2288,,0.8606
en_fr,tower_whisper,,,,0.8216,,3.722,2.1634,,4.1178,,0.8077
en_fr,voxtral-small-24b,,,,0.8323,,3.4481,2.2922,,3.8831,,0.8167
en_fr,spirelm,,,,0.6221,,7.6338,2.466,,7.9974,,0.6093
en_fr,qwen3omni,,,,0.859,,3.0512,1.9381,,3.443,,0.8455
