direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_it,aya_canary-v2,,,,0.8614,,3.2325,3.6443,,3.9877,,0.8354
en_it,aya_owsm4.0-ctc,,,,0.8405,,3.7401,3.6379,,4.48,,0.815
en_it,aya_seamlessm4t,,,,0.8925,,2.6815,3.625,,3.4661,,0.8644
en_it,aya_whisper,,,,0.8438,,3.5914,3.7152,,4.3355,,0.8181
en_it,canary-v2,,,,0.8423,,3.8525,4.1723,,4.6643,,0.8141
en_it,desta2-8b,,,,0.6554,,7.0937,3.6701,,7.6855,,0.638
en_it,gemma_canary-v2,,,,0.8491,,3.2433,3.9341,,4.0459,,0.8219
en_it,gemma_owsm4.0-ctc,,,,0.8292,,3.7599,3.831,,4.5057,,0.804
en_it,gemma_seamlessm4t,,,,0.8812,,2.7096,3.8632,,3.5381,,0.8516
en_it,gemma_whisper,,,,0.8314,,3.6005,3.9598,,4.3691,,0.8053
en_it,owsm4.0-ctc,,,,0.5281,,11.1514,14.9829,,13.0415,,0.468
en_it,phi4multimodal,,,,0.861,,5.7579,17.7452,,7.9165,,0.7013
en_it,qwen2audio-7b,,,,0.7739,,5.4168,4.4556,,6.1541,,0.7427
en_it,seamlessm4t,,,,0.8839,,2.973,3.7989,,3.7605,,0.8552
en_it,tower_canary-v2,,,,0.8593,,3.2457,3.9727,,4.0503,,0.8311
en_it,tower_owsm4.0-ctc,,,,0.8379,,3.7668,3.9663,,4.5652,,0.8098
en_it,tower_seamlessm4t,,,,0.8896,,2.6722,3.8182,,3.4939,,0.8596
en_it,tower_whisper,,,,0.8415,,3.5748,3.9663,,4.3571,,0.8141
en_it,voxtral-small-24b,,,,0.8483,,3.3331,4.0113,,4.1289,,0.8207
en_it,spirelm,,,,0.6606,,7.7062,3.9727,,8.3005,,0.6399
en_it,qwen3omni,,,,0.8776,,2.8947,3.8632,,3.6989,,0.8486
