direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_nl,aya_canary-v2,,,,0.9119,,3.0437,3.6186,,3.8143,,0.8811
en_nl,aya_owsm4.0-ctc,,,,0.894,,3.5255,3.7409,,4.2727,,0.8644
en_nl,aya_seamlessm4t,,,,0.9348,,2.5045,3.5735,,3.2756,,0.9036
en_nl,aya_whisper,,,,0.8956,,3.3713,3.8826,,4.1599,,0.8645
en_nl,canary-v2,,,,0.8957,,3.6381,4.7003,,4.6003,,0.8566
en_nl,desta2-8b,,,,0.756,,6.6933,4.2946,,7.4425,,0.7283
en_nl,gemma_canary-v2,,,,0.9051,,3.0944,3.8117,,3.8913,,0.8732
en_nl,gemma_owsm4.0-ctc,,,,0.8872,,3.6341,3.8826,,4.4239,,0.8555
en_nl,gemma_seamlessm4t,,,,0.9298,,2.5758,3.8439,,3.4016,,0.8965
en_nl,gemma_whisper,,,,0.889,,3.4558,4.095,,4.2732,,0.8563
en_nl,owsm4.0-ctc,,,,0.6433,,11.022,12.2722,,12.6796,,0.5735
en_nl,phi4multimodal,,,,0.8727,,8.863,31.846,,11.8955,,0.5816
en_nl,qwen2audio-7b,,,,0.8213,,5.5743,5.2733,,6.4969,,0.7795
en_nl,seamlessm4t,,,,0.928,,2.8186,4.4749,,3.7607,,0.889
en_nl,tower_canary-v2,,,,0.9119,,2.9358,4.1015,,3.8044,,0.8771
en_nl,tower_owsm4.0-ctc,,,,0.8942,,3.4506,4.1015,,4.2823,,0.8602
en_nl,tower_seamlessm4t,,,,0.9349,,2.4163,3.9212,,3.2666,,0.9001
en_nl,tower_whisper,,,,0.8946,,3.302,4.4363,,4.1927,,0.8585
en_nl,voxtral-small-24b,,,,0.901,,3.1725,4.4105,,4.0674,,0.8642
en_nl,spirelm,,,,0.7276,,7.0593,4.5071,,7.7809,,0.6983
en_nl,qwen3omni,,,,0.9198,,2.8698,4.0628,,3.7283,,0.8846
