direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_pt,aya_canary-v2,,,,0.8875,,3.611,3.5993,,4.3303,,0.8596
en_pt,aya_owsm4.0-ctc,,,,0.8672,,4.1975,3.5349,,4.8707,,0.8405
en_pt,aya_seamlessm4t,,,,0.9143,,3.0228,3.5027,,3.7523,,0.8852
en_pt,aya_whisper,,,,0.869,,4.0179,3.6958,,4.7197,,0.8417
en_pt,canary-v2,,,,0.8752,,4.2052,4.5715,,5.0672,,0.8408
en_pt,desta2-8b,,,,0.7151,,7.3977,4.2818,,8.0894,,0.6909
en_pt,gemma_canary-v2,,,,0.8784,,3.7179,4.0757,,4.5155,,0.8482
en_pt,gemma_owsm4.0-ctc,,,,0.8574,,4.3174,4.1337,,5.0864,,0.8279
en_pt,gemma_seamlessm4t,,,,0.9073,,3.1227,3.9856,,3.9517,,0.8749
en_pt,gemma_whisper,,,,0.8613,,4.1118,4.2367,,4.9019,,0.8311
en_pt,owsm4.0-ctc,,,,0.5055,,12.2273,41.0276,,17.2234,,0.3248
en_pt,phi4multimodal,,,,0.8868,,8.9205,35.6706,,12.2449,,0.5578
en_pt,qwen2audio-7b,,,,0.8178,,5.5927,5.0222,,6.438,,0.7808
en_pt,seamlessm4t,,,,0.9031,,3.4867,5.0866,,4.5218,,0.8624
en_pt,tower_canary-v2,,,,0.8847,,3.7446,4.4041,,4.603,,0.8515
en_pt,tower_owsm4.0-ctc,,,,0.8637,,4.3265,4.3011,,5.1356,,0.8319
en_pt,tower_seamlessm4t,,,,0.9133,,3.0927,4.1208,,3.9542,,0.8791
en_pt,tower_whisper,,,,0.8675,,4.1029,4.3397,,4.9216,,0.8361
en_pt,voxtral-small-24b,,,,0.8778,,3.8631,4.3655,,4.6771,,0.845
en_pt,spirelm,,,,0.6931,,8.4321,4.4492,,9.0304,,0.669
en_pt,qwen3omni,,,,0.9032,,3.2946,3.8504,,4.0553,,0.8732
