direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_zh,aya_canary-v2,36.4145,33.1264,0.8785,0.8653,2.0578,2.1592,0.4056,2.1378,2.2414,0.8765,0.8631
en_zh,aya_owsm4.0-ctc,34.1466,31.681,0.8598,0.8469,2.2917,2.3902,0.8435,2.4381,2.5445,0.8566,0.8435
en_zh,aya_seamlessm4t,37.7321,34.2615,0.8997,0.8894,1.7906,1.8845,0.3413,1.8614,1.9576,0.8978,0.8874
en_zh,aya_whisper,35.0977,32.363,0.8626,0.8498,2.203,2.326,0.5666,2.3048,2.4295,0.8603,0.8475
en_zh,canary-v2,0.1581,5.4694,0.9069,0.934,16.0486,20.2468,100.0,25.0,25.0,0.0,0.0
en_zh,desta2-8b,8.86,10.169,0.5231,0.4929,6.4644,7.7617,36.6493,12.0648,12.2178,0.4406,0.427
en_zh,gemma_canary-v2,35.3387,29.9568,0.8715,0.8565,2.0899,2.1696,0.2254,2.131,2.2094,0.8703,0.8553
en_zh,gemma_owsm4.0-ctc,34.5679,29.4061,0.8539,0.8377,2.3338,2.4279,0.1867,2.3677,2.4595,0.8528,0.8367
en_zh,gemma_seamlessm4t,36.5765,31.2713,0.895,0.8833,1.8073,1.892,0.1417,1.8362,1.9213,0.894,0.8824
en_zh,gemma_whisper,34.0066,29.4658,0.8563,0.8407,2.25,2.3562,0.1932,2.2821,2.3869,0.8552,0.8397
en_zh,owsm4.0-ctc,35.1534,29.0347,0.7405,0.7093,4.7475,5.0175,0.4056,4.8105,5.0642,0.7387,0.7079
en_zh,phi4multimodal,41.5561,35.6915,0.8672,0.8588,3.3334,4.18,13.1737,5.3844,5.5214,0.7549,0.741
en_zh,qwen2audio-7b,37.2093,31.0912,0.8205,0.8065,2.7911,2.91,0.9465,2.8942,2.9889,0.8136,0.7991
en_zh,seamlessm4t,36.5111,29.7015,0.8538,0.8417,2.9216,3.0169,0.1867,2.9559,3.0468,0.8525,0.8403
en_zh,tower_canary-v2,43.6704,36.7697,0.8848,0.8673,1.9734,2.1144,0.206,2.0114,2.1487,0.8837,0.8662
en_zh,tower_owsm4.0-ctc,42.7778,35.9819,0.8666,0.8479,2.2523,2.4148,0.2125,2.2886,2.4498,0.8654,0.8467
en_zh,tower_seamlessm4t,45.2469,38.3976,0.9075,0.8932,1.6895,1.8288,0.1867,1.7254,1.8649,0.9062,0.8919
en_zh,tower_whisper,42.8584,36.2243,0.8686,0.8503,2.138,2.3011,0.2189,2.1748,2.3365,0.8675,0.8491
en_zh,voxtral-small-24b,41.9544,37.2069,0.8706,0.855,2.1118,2.3108,0.5087,2.1848,2.3718,0.8671,0.8513
en_zh,spirelm,18.3963,21.5483,0.6519,0.6359,4.6751,4.9846,0.0515,4.6826,4.991,0.6516,0.6357
en_zh,qwen3omni,47.6633,39.3307,0.8997,0.8846,1.7169,1.8992,0.206,1.7577,1.94,0.8982,0.8831
