direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
es_en,aya_canary-v2,39.1207,64.6163,0.8997,0.8862,3.6525,3.3208,4.213,4.5215,4.1923,0.8633,0.8507
es_en,aya_owsm4.0-ctc,37.5482,63.6228,0.8805,0.8643,4.1215,3.7563,4.387,4.9879,4.6254,0.8446,0.829
es_en,aya_seamlessm4t,38.9322,64.5608,0.8963,0.884,3.7025,3.3662,4.1827,4.5443,4.2109,0.8619,0.8504
es_en,aya_whisper,38.5922,63.975,0.8913,0.876,3.7959,3.4681,4.4172,4.6909,4.3625,0.8545,0.84
es_en,canary-v2,41.7368,66.1518,0.8842,0.8697,4.279,3.9675,4.387,5.1558,4.8438,0.8472,0.8335
es_en,desta2-8b,26.7954,57.0561,0.6997,0.637,6.9666,6.3391,3.744,7.5539,6.9542,0.6786,0.6175
es_en,gemma_canary-v2,25.369,62.2686,0.896,0.8809,3.7837,3.4366,4.6744,4.7345,4.3881,0.8565,0.8422
es_en,gemma_owsm4.0-ctc,36.5686,62.4239,0.876,0.857,4.2909,3.9177,4.8635,5.2291,4.8624,0.8368,0.8186
es_en,gemma_seamlessm4t,38.0114,63.5828,0.8934,0.879,3.8182,3.4668,4.4702,4.7171,4.3633,0.8563,0.8428
es_en,gemma_whisper,37.4786,63.1009,0.8878,0.8712,3.9176,3.5692,4.9089,4.8975,4.5545,0.8473,0.8316
es_en,owsm4.0-ctc,31.5699,57.7082,0.6822,0.6391,9.4484,8.9633,6.2249,10.381,9.9102,0.6423,0.6015
es_en,phi4multimodal,37.3035,62.5107,0.8911,0.8891,5.5062,5.4387,17.1621,7.6113,7.337,0.743,0.7354
es_en,qwen2audio-7b,33.3537,59.7379,0.8159,0.7946,5.5825,5.002,5.1358,6.4637,5.905,0.779,0.758
es_en,seamlessm4t,42.9236,66.8391,0.8878,0.8763,4.1098,3.8191,4.1827,4.9384,4.6519,0.8536,0.8429
es_en,tower_canary-v2,41.5111,66.0617,0.9013,0.8873,3.6117,3.3276,4.7122,4.5625,4.2812,0.8616,0.8484
es_en,tower_owsm4.0-ctc,40.1894,65.0431,0.8821,0.8646,4.1262,3.7985,4.7803,5.039,4.7197,0.8439,0.8273
es_en,tower_seamlessm4t,41.4225,65.9989,0.8983,0.8857,3.6697,3.3763,4.4777,4.5511,4.2614,0.8619,0.8502
es_en,tower_whisper,40.6489,65.3452,0.8935,0.8772,3.7396,3.4693,4.7349,4.6942,4.4217,0.8543,0.839
es_en,voxtral-small-24b,43.2935,67.5911,0.9059,0.891,3.4854,3.268,4.7349,4.45,4.2343,0.8654,0.8511
es_en,whisper,39.0607,64.2284,0.8452,0.8305,5.2532,4.8412,5.1206,6.1836,5.7859,0.8066,0.7923
es_en,qwen3omni,43.1514,67.3262,0.9127,0.8993,3.343,3.1193,4.9845,4.3577,4.1328,0.8705,0.8578
