direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
it_en,aya_canary-v2,33.4437,62.1229,0.8759,0.8532,3.7772,3.4809,4.5581,4.7328,4.4381,0.8395,0.8162
it_en,aya_owsm4.0-ctc,31.4639,60.8169,0.8549,0.8284,4.2403,3.9345,4.4129,5.1499,4.8456,0.8204,0.794
it_en,aya_seamlessm4t,35.3301,62.9233,0.8779,0.8583,3.7615,3.4861,4.3682,4.6563,4.3831,0.8433,0.8237
it_en,aya_whisper,32.9242,61.6502,0.8674,0.844,3.8843,3.6042,4.5246,4.8327,4.5467,0.8314,0.8079
it_en,canary-v2,39.0678,63.8412,0.8517,0.8295,4.6333,4.3172,5.5189,5.758,5.4607,0.8084,0.7852
it_en,desta2-8b,18.4489,50.4303,0.6113,0.5383,8.1145,7.524,3.5527,8.6425,8.0868,0.5971,0.5248
it_en,gemma_canary-v2,34.026,61.3205,0.8701,0.8477,3.9526,3.6126,5.4854,5.0965,4.7565,0.827,0.8039
it_en,gemma_owsm4.0-ctc,31.6293,59.774,0.8475,0.819,4.4874,4.1411,5.6418,5.6491,5.2972,0.8037,0.7752
it_en,gemma_seamlessm4t,34.7642,61.8162,0.8731,0.8527,3.9224,3.5902,5.1838,4.9817,4.6564,0.8327,0.8119
it_en,gemma_whisper,32.9143,60.6435,0.8636,0.8398,4.0547,3.7242,5.6195,5.2317,4.8977,0.8196,0.795
it_en,owsm4.0-ctc,26.7353,53.194,0.5888,0.5361,10.906,10.3759,7.7086,12.0949,11.6046,0.5431,0.4905
it_en,phi4multimodal,38.9802,64.0446,0.8738,0.8682,4.8344,4.6106,11.697,6.5275,6.2843,0.7799,0.7658
it_en,qwen2audio-7b,30.5018,57.5899,0.7701,0.7416,6.1742,5.5504,6.9043,7.3504,6.7674,0.7235,0.6932
it_en,seamlessm4t,39.8647,64.7176,0.8586,0.8413,4.3925,4.0835,3.7873,5.1101,4.8128,0.8317,0.814
it_en,tower_canary-v2,39.2691,64.5793,0.8796,0.8582,3.725,3.4505,5.7424,4.9202,4.6591,0.834,0.8118
it_en,tower_owsm4.0-ctc,37.8153,63.4901,0.8581,0.8313,4.2351,3.9457,5.6977,5.4025,5.1175,0.8137,0.7866
it_en,tower_seamlessm4t,39.3264,64.8167,0.8815,0.8622,3.6733,3.415,5.4407,4.7926,4.5385,0.8384,0.8186
it_en,tower_whisper,38.5978,64.0502,0.8715,0.8483,3.7966,3.567,5.9323,5.0312,4.7991,0.8251,0.8015
it_en,voxtral-small-24b,39.0547,65.045,0.876,0.8534,3.7475,3.4769,6.2228,5.0313,4.7782,0.8266,0.8036
it_en,whisper,35.6994,61.3223,0.7991,0.7775,5.8915,5.4872,6.3121,7.1011,6.7059,0.7525,0.7299
it_en,qwen3omni,40.7702,65.9,0.893,0.8739,3.4717,3.2515,5.7982,4.7183,4.4992,0.8452,0.8254
