direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
pt_en,aya_canary-v2,47.2553,67.7335,0.8732,0.8327,3.6239,3.652,2.436,4.0512,4.0745,0.8575,0.8186
pt_en,aya_owsm4.0-ctc,47.6917,68.4826,0.893,0.8534,3.1823,3.2055,2.1129,3.621,3.6387,0.8767,0.8389
pt_en,aya_seamlessm4t,49.2695,69.2529,0.9017,0.8672,3.0072,3.0989,2.0134,3.4193,3.5044,0.8859,0.8522
pt_en,aya_whisper,48.4551,69.1455,0.9078,0.871,2.8218,2.8818,2.1626,3.2865,3.3381,0.8902,0.8551
pt_en,canary-v2,48.7816,68.2463,0.8416,0.8035,4.7286,4.6607,2.8088,5.2065,5.1455,0.8236,0.7869
pt_en,desta2-8b,36.4572,60.6535,0.715,0.6253,6.0087,5.6681,2.5106,6.418,6.0838,0.7022,0.6153
pt_en,gemma_canary-v2,46.402,66.5088,0.8657,0.8252,3.8258,3.7953,2.6846,4.2634,4.2313,0.8493,0.8101
pt_en,gemma_owsm4.0-ctc,47.1356,67.5335,0.8877,0.8478,3.3791,3.3682,2.3614,3.8619,3.8443,0.8693,0.8313
pt_en,gemma_seamlessm4t,48.4264,68.3783,0.8966,0.8616,3.1417,3.1796,2.1129,3.5642,3.5965,0.8805,0.846
pt_en,gemma_whisper,47.3474,67.8099,0.9018,0.865,2.9498,2.9767,2.3117,3.4344,3.4499,0.8833,0.8481
pt_en,owsm4.0-ctc,34.1257,56.7639,0.6541,0.5893,9.8547,9.2056,4.1014,10.4366,9.81,0.6319,0.5705
pt_en,phi4multimodal,53.2566,71.959,0.9036,0.8733,3.2974,3.3648,4.7228,4.0288,4.0735,0.8647,0.8329
pt_en,qwen2audio-7b,40.5323,62.5633,0.8078,0.7663,5.3327,4.8076,3.3308,5.8909,5.3859,0.7843,0.7436
pt_en,seamlessm4t,53.8359,72.1834,0.8937,0.8623,3.294,3.3984,2.0631,3.6905,3.788,0.8789,0.8485
pt_en,tower_canary-v2,51.259,70.4847,0.8733,0.8339,3.6375,3.6675,2.7094,4.0987,4.1268,0.8558,0.8178
pt_en,tower_owsm4.0-ctc,51.5524,71.118,0.892,0.852,3.1828,3.2363,2.3614,3.6665,3.7142,0.8736,0.8354
pt_en,tower_seamlessm4t,52.483,71.9811,0.9033,0.8697,2.909,3.0882,2.1377,3.3417,3.5073,0.8867,0.8541
pt_en,tower_whisper,50.033,71.1924,0.9089,0.872,2.7474,2.8453,2.262,3.2366,3.3215,0.8903,0.8551
pt_en,voxtral-small-24b,54.7696,72.7417,0.9055,0.8689,2.8445,2.8846,2.3863,3.3428,3.378,0.8853,0.85
pt_en,whisper,50.0851,70.1376,0.8761,0.8364,3.7395,3.818,2.6348,4.2881,4.3532,0.8551,0.8171
pt_en,qwen3omni,54.3118,72.913,0.9148,0.8793,2.6694,2.7602,2.1129,3.1191,3.2051,0.8973,0.8629
