direction,system,SacreBLEU,chrF,XCOMET,XCOMET-QE,RefMetricX_24,QEMetricX_24,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
zh_en,aya_canary-v2,0.1006,11.0016,0.1818,0.189,17.0633,15.9407,11.8007,17.6932,16.7437,0.1619,0.1677
zh_en,aya_owsm4.0-ctc,18.3667,48.8463,0.7681,0.8149,5.1468,3.9381,8.8199,6.8693,5.8224,0.7053,0.7433
zh_en,aya_seamlessm4t,18.6413,49.4385,0.7855,0.8312,4.6369,3.5303,8.7178,6.3338,5.39,0.7261,0.7626
zh_en,aya_whisper,17.4938,47.9232,0.7382,0.7803,5.4819,4.309,8.0849,7.0179,5.9917,0.6851,0.7197
zh_en,canary-v2,0.1795,11.5919,0.1655,0.1727,20.2277,18.9446,55.3287,23.5498,23.162,0.0595,0.0613
zh_en,desta2-8b,11.8349,39.5873,0.5251,0.542,9.2555,7.4511,5.1654,10.0876,8.4192,0.5037,0.5168
zh_en,gemma_canary-v2,0.1766,9.2491,0.1531,0.166,19.7566,18.2784,60.0857,23.4481,22.9782,0.0578,0.0602
zh_en,gemma_owsm4.0-ctc,18.8148,48.0333,0.7465,0.8009,5.6509,4.3147,10.2491,7.5543,6.4403,0.6779,0.7199
zh_en,gemma_seamlessm4t,19.808,48.7851,0.7691,0.8225,4.9729,3.7155,10.2695,6.9278,5.8571,0.7021,0.7428
zh_en,gemma_whisper,18.563,47.189,0.7272,0.7763,5.8652,4.5816,9.2691,7.532,6.4332,0.6698,0.7094
zh_en,owsm4.0-ctc,3.7058,17.0391,0.2494,0.2795,18.3109,17.552,22.1519,20.2574,19.7616,0.1861,0.2043
zh_en,phi4multimodal,18.782,39.562,0.7659,0.8424,5.8845,4.5601,38.4238,12.6944,11.823,0.4819,0.5144
zh_en,qwen2audio-7b,19.296,47.1774,0.7294,0.7867,5.6995,4.0154,12.597,7.8198,6.4984,0.6551,0.6934
zh_en,seamlessm4t,21.8881,47.7455,0.7295,0.7939,6.7604,5.1909,5.9412,7.745,6.3393,0.6918,0.7477
zh_en,tower_canary-v2,0.0509,7.5924,0.1644,0.1793,19.2477,17.9197,71.8865,23.1286,22.9997,0.0438,0.0448
zh_en,tower_owsm4.0-ctc,22.2452,51.1634,0.7704,0.821,5.1971,3.8973,10.5962,7.2328,6.1648,0.6965,0.734
zh_en,tower_seamlessm4t,23.1993,51.948,0.7878,0.8382,4.6224,3.4815,10.5145,6.6348,5.7066,0.7176,0.7557
zh_en,tower_whisper,22.0192,50.1184,0.7447,0.791,5.4877,4.3364,9.0853,7.1987,6.2083,0.6867,0.7237
zh_en,voxtral-small-24b,11.4049,39.944,0.6633,0.7342,7.4391,5.421,11.9845,9.3724,7.7433,0.5972,0.6514
zh_en,whisper,12.6007,38.2573,0.5899,0.6502,9.4696,7.9533,11.6782,11.383,10.0767,0.5302,0.5785
zh_en,qwen3omni,26.4893,55.2676,0.837,0.8823,3.4101,2.362,11.9437,5.7599,4.9838,0.7542,0.7854
