system,LinguaPy,,,,,,,,,,,,metricx_qe_score,,,,,,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,,,,,,xcomet_qe_score,,,,,,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,,,,,,
,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en
whisper,,,,,,,,0.5506607929515419,0.3880266075388027,0.26246719160104987,0.3558718861209964,0.5701254275940707,,,,,,,,4.84685411846618,5.170974547080613,4.886944559380764,5.674520684324408,5.5994648895973675,,,,,,,,4.967986557870644,5.232784581157955,4.944649572369308,5.739125032830776,5.716273083484295,,,,,,,,0.8164784362219635,0.7795831207454436,0.815546590554563,0.7564582025272106,0.8033307973919872,,,,,,,,0.81234648044217,0.7778923473983772,0.8136854972902193,0.7551925993929943,0.7984348638390281
seamlessm4t,1.6574585635359116,1.6474464579901154,1.9017432646592711,3.0973451327433628,3.2721468475658417,3.724696356275304,1.8355945730247407,0.5506607929515419,0.11086474501108648,0.08748906386701663,0.1779359430604982,0.26605853287723297,5.625283735547724,7.02569627942275,6.684456307346536,7.582643659821654,7.378416438565455,8.29155393738737,7.111055173598236,4.248117034294794,4.34225472161947,4.523309845506676,4.996496724506149,4.370970670639313,5.772108139756893,7.122883109949664,6.822128772092083,7.768187986063746,7.646013888795782,8.54371990010082,7.244571380971292,4.3681864290773085,4.35813235465082,4.539605630651338,5.0316999863793415,4.432811662356512,0.8493227963530603,0.7495433900818302,0.8396549955152105,0.787228100199615,0.8453116083349691,0.798134297571194,0.6576175536047623,0.8461982155432063,0.8247557678435435,0.8421496005202477,0.8036916341526547,0.8597222813258195,0.8372973973444577,0.7376437961834267,0.8267754985406263,0.7641707706372295,0.8166771831387819,0.768035129712412,0.6437069974893203,0.8421555010864453,0.8241224198162291,0.8416746401163641,0.8028426498179086,0.857275568767221
canary-v2,0.6314127861089187,0.16474464579901155,0.07923930269413629,0.08849557522123894,0.1596169193934557,0.4858299595141701,100.0,0.7158590308370044,0.2771618625277162,0.17497812773403326,0.3558718861209964,0.45610034207525657,2.6700670246472957,3.0161362745518345,3.1278923756004606,2.858286708098861,1.8750910571429222,2.6323117590354763,20.267727324321378,3.7338762862632455,3.9187925649422763,3.9329082228614904,4.262119728272001,3.9603822303051643,2.8017841579529272,3.0416973028485423,3.14533983437247,2.8694222609355915,1.9112643001204193,2.730718924047855,25.0,3.8760789801337907,3.979304340207524,3.961240554379979,4.322535803415597,4.066289469010701,0.9218987180853605,0.8774782173716059,0.9261028233992317,0.904225478611425,0.9479133105061573,0.9294483337747423,0.9256448036703413,0.8764949686669371,0.8524864129061313,0.8668863130562262,0.8518630385460731,0.8865758446264688,0.9166630849230449,0.8770333081422469,0.925359254747204,0.9041330737811801,0.9470295154468021,0.9253962976488507,0.0,0.871958187293048,0.8506567981135422,0.8659390552085111,0.8498582466641355,0.8825055828747378
owsm4.0-ctc,1.1838989739542225,0.08237232289950577,1.5847860538827259,0.9734513274336283,0.23942537909018355,1.1336032388663968,0.23942537909018355,2.8083700440528636,0.8869179600886918,2.2309711286089238,1.1269276393831553,1.1402508551881414,9.898078762929837,12.169803981824211,11.361488050638023,12.061853255568879,9.175034565370938,14.31906029153389,9.412105447860213,10.656999900813998,10.122870556002445,10.814529269073265,10.829865867875224,12.88741901459711,10.077853717950733,12.18710027406793,11.527766526453846,12.20663527359741,9.21445653910458,14.453295183407995,9.431825616708396,10.982885866988008,10.220755661868733,11.005886102233763,10.997730862380205,13.040599943113527,0.6461284014968982,0.4255141129738711,0.6055829361754155,0.5150015191549014,0.7501530408240848,0.4746028957066507,0.46174838094238463,0.4559183654853344,0.4609998992539451,0.43776816544252345,0.4066141782022465,0.4034115172280491,0.6389815891213015,0.4253801834114399,0.5995649154963659,0.5120060884701788,0.7485912183131681,0.4693291189850342,0.4614658954018892,0.44056073682780666,0.4574966425555727,0.4336550192828926,0.39984996662854105,0.3982557947692542
aya_whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemma_whisper,0.31570639305445936,0.2471169686985173,0.554675118858954,0.08849557522123894,0.07980845969672785,0.32388663967611336,0.07980845969672785,0.6607929515418502,0.11086474501108648,0.13123359580052493,0.41518386714116245,0.3800836183960471,2.4725006843498822,2.6930619684436174,3.102295752570458,2.4761728424809677,1.583036243766903,2.4581941455391494,2.578009551362761,3.6568783358691284,3.8515218591478604,3.6878651671196323,4.2465428123836135,3.746470674861071,2.540495987875709,2.7344359239989884,3.211361311798216,2.496814005129633,1.6027450105509848,2.523178418858452,2.589109403264827,3.8004220924976115,3.8786611346705526,3.7116246994907462,4.312104296924663,3.8274012384352147,0.9201144387485385,0.8769565084350757,0.9203428293322988,0.9107321396140399,0.9542666218776467,0.9298155904721151,0.8465163402158264,0.8676622861971677,0.8361975454008764,0.8701556051901215,0.8249963845169417,0.8757169084975313,0.9177754014765737,0.8756018622028081,0.9164702342542718,0.9098908868313363,0.9534685372806794,0.9272985971649649,0.8463558126107179,0.8626906565895165,0.8353695303631199,0.8692475218824515,0.8235861978240638,0.8721149120039471
tower_whisper,0.6314127861089187,0.16474464579901155,0.39619651347068147,0.08849557522123894,0.07980845969672785,0.24291497975708504,0.0,0.7158590308370044,0.1662971175166297,0.26246719160104987,0.5338078291814947,0.3800836183960471,2.5464680764144956,2.76958056865797,3.0335427432124713,2.473528843735699,1.3986324527124738,2.098265380795427,2.530190176515582,3.598079010122148,3.6956546106220878,3.561303149762116,4.119485434323709,3.507366073823664,2.6871029713030112,2.7974284468878436,3.1153332487297747,2.494469670476639,1.4183412194965557,2.1575093517479624,2.530190176515582,3.7444266331780063,3.7227938861447796,3.620966455911401,4.194744454290219,3.5934765297779334,0.9212244636325523,0.887105703132942,0.9252481006983249,0.9140871689382908,0.9597038610259343,0.9416833174494114,0.8632746672366299,0.8741158458203209,0.8437313491647894,0.8789607485167988,0.8363202739184367,0.8858003957003797,0.9156248163190783,0.8862195331572602,0.9222587484057562,0.9135300869435335,0.958905776428967,0.9392933430097363,0.8632746672366299,0.8692932313119394,0.842780292009369,0.8767513547024233,0.8347419195168807,0.8825027888455984
aya_seamlessm4t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemma_seamlessm4t,0.5524861878453038,0.08237232289950577,0.6339144215530903,0.0,0.23942537909018355,0.24291497975708504,0.1596169193934557,0.3854625550660793,0.3880266075388027,0.30621172353455817,0.1779359430604982,0.6081337894336754,2.5956939821202827,2.8443201847828594,3.1930348816757252,2.6108307989561452,1.7400604045079502,2.603616198984838,2.6990271611176344,3.5582841174914974,3.753578400185658,3.798062355049795,4.069567237336582,3.6464513944428667,2.7019515100693083,2.844815521965899,3.313954608405685,2.6108307989561452,1.774868899960805,2.643679160473921,2.7110689372769707,3.6413424467003295,3.8197887314363754,3.852217080053643,4.104660233268393,3.7603948573135506,0.91518075929421,0.8775428300278485,0.9197958863285708,0.9073029049952407,0.94963475085456,0.9258104269321148,0.8478049488778316,0.8767551660193089,0.8486274500891665,0.8681662648213271,0.8465208379487692,0.8859769029791298,0.9114007314089347,0.8774569652778215,0.9151839894787209,0.9073029049952407,0.9481923802616781,0.924102195711271,0.847551451952859,0.8736946621442024,0.8463424201848238,0.8670247118767923,0.8450686713042067,0.881684285360953
tower_seamlessm4t,0.5524861878453038,0.08237232289950577,0.4754358161648178,0.17699115044247787,0.3192338387869114,0.24291497975708504,0.1596169193934557,0.4955947136563877,0.22172949002217296,0.21872265966754156,0.1779359430604982,0.4941087039148613,2.67395969599356,2.9267430075703578,3.138087279914558,2.6319714759303405,1.570368560769871,2.242352504234927,2.691274284145067,3.497262178144791,3.5995008358835117,3.691122677871405,3.9330400340214884,3.4039466839605117,2.7872383641762677,2.9344078577330714,3.2095310520794,2.6548034665858853,1.6123205137313459,2.285915040134298,2.713289207271215,3.6010789498358573,3.6366925855598797,3.7296855593799294,3.9680441072473607,3.494211109282172,0.9186331939787237,0.8832298093145526,0.9229883842890501,0.9108995526204858,0.9551273203987839,0.9360273272945331,0.8635857062918229,0.8790647895916444,0.857216715922129,0.874719730644184,0.8544980242565575,0.8966552678230868,0.9143533176141949,0.8830371118922407,0.9204908864906208,0.909900251146307,0.953497196167874,0.9342168909516412,0.8629388081033231,0.8754556955244507,0.8557554135189914,0.873716749734705,0.8530480149748911,0.8933467881131744
