system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh
whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seamlessm4t,1.6574585635359116,1.6474464579901154,1.9017432646592711,3.0973451327433628,3.2721468475658417,3.724696356275304,1.8355945730247407,77.4988650578091,71.897214882309,73.26217477061385,69.66942536071338,70.48633424573818,66.83378425045052,71.55577930560706,76.91156744097242,71.50846756020134,72.71148491163167,68.92724805574501,69.41594444481687,65.82512039959673,71.02171447611482,0.8493227963530603,0.7495433900818302,0.8396549955152105,0.787228100199615,0.8453116083349691,0.798134297571194,0.6576175536047623,0.8372973973444577,0.7376437961834267,0.8267754985406263,0.7641707706372295,0.8166771831387819,0.768035129712412,0.6437069974893203
canary-v2,0.6314127861089187,0.16474464579901155,0.07923930269413629,0.08849557522123894,0.1596169193934557,0.4858299595141701,100.0,89.31973190141082,87.93545490179267,87.48843049759816,88.56685316760456,92.49963577142832,89.47075296385809,18.92909070271449,88.79286336818829,87.83321078860583,87.41864066251011,88.52231095625763,92.35494279951833,89.07712430380857,0.0,0.9218987180853605,0.8774782173716059,0.9261028233992317,0.904225478611425,0.9479133105061573,0.9294483337747423,0.9256448036703413,0.9166630849230449,0.8770333081422469,0.925359254747204,0.9041330737811801,0.9470295154468021,0.9253962976488507,0.0
owsm4.0-ctc,1.1838989739542225,0.08237232289950577,1.5847860538827259,0.9734513274336283,0.23942537909018355,1.1336032388663968,0.23942537909018355,60.407684948280654,51.320784072703155,54.55404779744791,51.752586977724484,63.29986173851625,42.72375883386444,62.35157820855915,59.68858512819707,51.25159890372828,53.88893389418462,51.17345890561036,63.14217384358168,42.18681926636802,62.272697533166415,0.6461284014968982,0.4255141129738711,0.6055829361754155,0.5150015191549014,0.7501530408240848,0.4746028957066507,0.46174838094238463,0.6389815891213015,0.4253801834114399,0.5995649154963659,0.5120060884701788,0.7485912183131681,0.4693291189850342,0.4614658954018892
aya whisper,0.5524861878453038,0.16474464579901155,0.15847860538827258,0.2654867256637168,0.07980845969672785,0.08097165991902834,0.0,90.13301874881856,89.72693766869568,88.38135607502824,90.1065557258319,94.32015896254983,90.74652181965136,89.72584890679464,89.64496195909068,89.61328672064097,88.25421623389714,89.88573169940341,94.2413238954135,90.71976621874913,89.72584890679464,0.9230529557569533,0.8879891660561573,0.9263741485892593,0.9136016393921017,0.95902554504722,0.9362014341631881,0.8580663490145566,0.9182495204136423,0.8874229522425024,0.9254869846258129,0.9117309296816851,0.9582274604502528,0.9361151629372647,0.8580663490145566
gemma whisper,0.31570639305445936,0.2471169686985173,0.554675118858954,0.08849557522123894,0.07980845969672785,0.32388663967611336,0.07980845969672785,90.10999726260047,89.22775212622552,87.59081698971816,90.09530863007613,93.6678550249324,90.1672234178434,89.68796179454895,89.83801604849717,89.06225630400405,87.15455475280714,90.01274397948147,93.58901995779605,89.90728632456619,89.64356238694069,0.9201144387485385,0.8769565084350757,0.9203428293322988,0.9107321396140399,0.9542666218776467,0.9298155904721151,0.8465163402158264,0.9177754014765737,0.8756018622028081,0.9164702342542718,0.9098908868313363,0.9534685372806794,0.9272985971649649,0.8463558126107179
tower whisper,0.6314127861089187,0.16474464579901155,0.39619651347068147,0.08849557522123894,0.07980845969672785,0.24291497975708504,0.0,89.81412769434202,88.92167772536811,87.86582902715011,90.1058846250572,94.40547018915011,91.6069384768183,89.87923929393767,89.25158811478795,88.81028621244863,87.5386670050809,90.02212131809344,94.32663512201378,91.36996259300815,89.87923929393767,0.9212244636325523,0.887105703132942,0.9252481006983249,0.9140871689382908,0.9597038610259343,0.9416833174494114,0.8632746672366299,0.9156248163190783,0.8862195331572602,0.9222587484057562,0.9135300869435335,0.958905776428967,0.9392933430097363,0.8632746672366299
aya seamlessm4t,0.7103393843725335,0.08237232289950577,0.2377179080824089,0.08849557522123894,0.23942537909018355,0.16194331983805668,0.07980845969672785,89.68098513210441,88.94284246557528,87.81368125121445,89.60343256189232,93.64676772475433,90.21801762238205,88.79927861757119,89.09460234353885,88.94284246557528,87.6522983708751,89.52343715927769,93.5087899626348,90.0905993189889,88.7824738866695,0.919145192230604,0.8878604415834834,0.923384814061189,0.9109545498196266,0.9550485849225893,0.930817598400087,0.8547846745797756,0.9133784564442774,0.8877968509517352,0.9222978869491447,0.9106892270753078,0.9536057153310855,0.929347441294174,0.8546323135245446
gemma seamlessm4t,0.5524861878453038,0.08237232289950577,0.6339144215530903,0.0,0.23942537909018355,0.24291497975708504,0.1596169193934557,89.61722407151888,88.62271926086856,87.2278604732971,89.55667680417542,93.0397583819682,89.58553520406065,89.20389135552946,89.19219395972277,88.6207379121364,86.74418156637726,89.55667680417542,92.90052440015678,89.42528335810431,89.15572425089212,0.91518075929421,0.8775428300278485,0.9197958863285708,0.9073029049952407,0.94963475085456,0.9258104269321148,0.8478049488778316,0.9114007314089347,0.8774569652778215,0.9151839894787209,0.9073029049952407,0.9481923802616781,0.924102195711271,0.847551451952859
tower seamlessm4t,0.5524861878453038,0.08237232289950577,0.4754358161648178,0.17699115044247787,0.3192338387869114,0.24291497975708504,0.1596169193934557,89.30416121602576,88.29302796971857,87.44765088034177,89.47211409627863,93.71852575692051,91.0305899830603,89.23490286341973,88.85104654329493,88.26236856906772,87.1618757916824,89.38078613365646,93.55071794507461,90.8563398394628,89.14684317091513,0.9186331939787237,0.8832298093145526,0.9229883842890501,0.9108995526204858,0.9551273203987839,0.9360273272945331,0.8635857062918229,0.9143533176141949,0.8830371118922407,0.9204908864906208,0.909900251146307,0.953497196167874,0.9342168909516412,0.8629388081033231
aya canary-v2,0.6314127861089187,0.0,0.15847860538827258,0.0,0.1596169193934557,0.24291497975708504,0.1596169193934557,90.99272654086187,90.30766654105418,89.2732170478525,91.42793313521197,94.86475163448456,91.2374062347026,89.85468224008514,90.51057588684813,90.30766654105418,89.17759631970888,91.42793313521197,94.74095794886755,91.07195398025667,89.74980242088948,0.9325589840289356,0.8993161994859552,0.9337240474242511,0.9282947588964539,0.9639122902288593,0.9442508915235639,0.8652166173111793,0.9285854974963011,0.8993161994859552,0.9328946749755017,0.9282947588964539,0.9630312769415849,0.9428726685915881,0.8645229999389252
gemma canary-v2,0.4735595895816891,0.08237232289950577,0.31695721077654515,0.17699115044247787,0.1596169193934557,0.24291497975708504,0.0,90.92547014647332,89.98456470970267,88.63762206833356,90.87455331585576,93.9860950380873,90.72206040296236,89.89224602864775,90.55591757867218,89.91911635878058,88.4043948104614,90.78091940418281,93.86230135247028,90.51619467121145,89.89224602864775,0.9274906213288714,0.8915120909631842,0.9306798705952197,0.9225516461824949,0.9581851866705743,0.9396451334540661,0.8570562180336817,0.9240905234579881,0.8913482163267139,0.928413641941623,0.9216757934837214,0.9573041733832999,0.9379415628881107,0.8570562180336817
tower canary-v2,0.5524861878453038,0.08237232289950577,0.39619651347068147,0.17699115044247787,0.1596169193934557,0.32388663967611336,0.0,90.87222802429662,89.84844793754904,88.77829224635181,90.78910988089258,94.97660618077396,92.15537049944102,90.25859991088213,90.42331619992346,89.78247080956888,88.47962106198733,90.6775472613035,94.85281249515694,91.89387127952537,90.25859991088213,0.9332154382611224,0.9015139130663734,0.9357393049943467,0.9257528308482297,0.9649596672329728,0.9494976321273004,0.8740524568811285,0.9289697484652076,0.9011086091411468,0.9327008053601354,0.925099288705176,0.9640786539456984,0.9472892879233187,0.8740524568811285
aya owsm4.0-ctc,0.5524861878453038,0.0,0.15847860538827258,0.35398230088495575,0.1596169193934557,0.32388663967611336,0.07980845969672785,88.80320282295735,88.24087424271876,87.01820750147246,88.97574978937618,93.18438290246277,89.55481780555084,88.71116894130363,88.31249145781231,88.24087424271876,86.90817380421419,88.71282088574583,93.05457942769324,89.26231291984257,88.65209349520141,0.912100666012224,0.872404848282184,0.9161875190216274,0.9021257169775467,0.9530654601345444,0.9249889610629333,0.8441539998690272,0.9071703228773145,0.872404848282184,0.9157821117721723,0.8996917380465079,0.9516451368680713,0.9218147786402027,0.8435841753739932
gemma owsm4.0-ctc,0.4735595895816891,0.16474464579901155,0.39619651347068147,0.17699115044247787,0.23942537909018355,0.32388663967611336,0.1596169193934557,88.71075310992649,87.61718211687574,86.31278162434248,88.50442523711023,92.49789122345204,89.03077346320578,88.75390490805114,88.33205807338386,87.53331963700754,85.98551992592645,88.41455300685051,92.30780238442343,88.72210574229719,88.65310226195304,0.9060069488180653,0.8585464966036932,0.912195806702962,0.8956535492281932,0.9467118030617643,0.9182854086643288,0.8349407955778188,0.902312191639863,0.8576776165901829,0.909624415982615,0.8946873474066698,0.9451684276829789,0.9157304055053695,0.8346551348591269
tower owsm4.0-ctc,0.5524861878453038,0.08237232289950577,0.39619651347068147,0.35398230088495575,0.23942537909018355,0.32388663967611336,0.1596169193934557,88.13332609665281,87.54638186818882,86.34622985872008,88.8071944499174,93.23380570578651,90.27829729949656,88.9299819722284,87.68290348073442,87.53676245858681,86.1033621852754,88.577717990448,93.09468222841775,90.03070314571201,88.87451838987975,0.9080964722924211,0.870996947269856,0.914763280983111,0.9032047708840233,0.9510045039860706,0.9314030401227686,0.8512578574555546,0.9036759235620522,0.8709090195866256,0.9132684303975993,0.9006362141794072,0.9494989898118227,0.9288939217113049,0.8507388165638339
