system,LinguaPy,,,,,metricx_qe_score,,,,,QEMetricX_24-Strict-linguapy,,,,,xcomet_qe_score,,,,,XCOMET-QE-Strict-linguapy,,,,
,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en
whisper,0.5506607929515419,0.3880266075388027,0.26246719160104987,0.3558718861209964,0.5701254275940707,80.61258352613528,79.31610181167756,80.45222176247694,77.30191726270237,77.60214044161053,80.12805376851742,79.06886167536818,80.22140171052277,77.04349986867689,77.13490766606282,0.8164784362219635,0.7795831207454436,0.815546590554563,0.7564582025272106,0.8033307973919872,0.81234648044217,0.7778923473983772,0.8136854972902193,0.7551925993929943,0.7984348638390281
seamlessm4t,0.5506607929515419,0.11086474501108648,0.08748906386701663,0.1779359430604982,0.26605853287723297,83.00753186282083,82.63098111352213,81.9067606179733,80.01401310197541,82.51611731744275,82.52725428369077,82.56747058139672,81.84157747739465,79.87320005448264,82.26875335057395,0.8461982155432063,0.8247557678435435,0.8421496005202477,0.8036916341526547,0.8597222813258195,0.8421555010864453,0.8241224198162291,0.8416746401163641,0.8028426498179086,0.857275568767221
canary-v2,0.7158590308370044,0.2771618625277162,0.17497812773403326,0.3558718861209964,0.45610034207525657,85.06449485494701,84.3248297402309,84.26836710855403,82.951521086912,84.15847107877934,84.49568407946484,84.0827826391699,84.15503778248008,82.70985678633761,83.7348421239572,0.8764949686669371,0.8524864129061313,0.8668863130562262,0.8518630385460731,0.8865758446264688,0.871958187293048,0.8506567981135422,0.8659390552085111,0.8498582466641355,0.8825055828747378
owsm4.0-ctc,2.8083700440528636,0.8869179600886918,2.2309711286089238,1.1269276393831553,1.1402508551881414,57.372000396744006,59.50851777599022,56.74188292370694,56.680536528499104,48.45032394161156,56.06845653204797,59.11697735252507,55.97645559106495,56.00907655047918,47.83760022754589,0.4559183654853344,0.4609998992539451,0.43776816544252345,0.4066141782022465,0.4034115172280491,0.44056073682780666,0.4574966425555727,0.4336550192828926,0.39984996662854105,0.3982557947692542
aya whisper,0.7158590308370044,0.1662971175166297,0.21872265966754156,0.41518386714116245,0.26605853287723297,85.76234200570552,85.50380632651354,85.90534345160319,83.65566234508019,85.92476624205102,85.15033159913733,85.3487768050308,85.71614608424125,83.39607092911379,85.67357789301138,0.877797316644948,0.847254306546716,0.8802466947741787,0.8365671156131147,0.8851931567673038,0.8726239271691717,0.8461650292349859,0.8784412387954047,0.8351371043879862,0.8826231746217544
gemma whisper,0.6607929515418502,0.11086474501108648,0.13123359580052493,0.41518386714116245,0.3800836183960471,85.37248665652349,84.59391256340857,85.24853933152147,83.01382875046555,85.01411730055571,84.79831163000955,84.4853554613178,85.15350120203702,82.75158281230135,84.69039504625914,0.8676622861971677,0.8361975454008764,0.8701556051901215,0.8249963845169417,0.8757169084975313,0.8626906565895165,0.8353695303631199,0.8692475218824515,0.8235861978240638,0.8721149120039471
tower whisper,0.7158590308370044,0.1662971175166297,0.26246719160104987,0.5338078291814947,0.3800836183960471,85.6076839595114,85.21738155751164,85.75478740095153,83.52205826270517,85.97053570470534,85.02229346728798,85.10882445542089,85.5161341763544,83.22102218283912,85.62609388088826,0.8741158458203209,0.8437313491647894,0.8789607485167988,0.8363202739184367,0.8858003957003797,0.8692932313119394,0.842780292009369,0.8767513547024233,0.8347419195168807,0.8825027888455984
aya seamlessm4t,0.3854625550660793,0.22172949002217296,0.30621172353455817,0.2372479240806643,0.45610034207525657,86.20129859736312,85.74069765461257,85.49033029485666,84.24865506700773,86.32055988700523,85.88337166141308,85.58852920729146,85.25773454346056,84.04979190276327,85.97345356903163,0.8855713352741518,0.861542934050036,0.8784725910006009,0.8582312364933828,0.8958002654074524,0.8826570916133174,0.86024560827035,0.8765543796494236,0.8565457983393762,0.8922740022475922
gemma seamlessm4t,0.3854625550660793,0.3880266075388027,0.30621172353455817,0.1779359430604982,0.6081337894336754,85.76686353003402,84.98568639925736,84.80775057980082,83.72173105065367,85.41419442222853,85.43463021319869,84.7208450742545,84.59113167978543,83.58135906692642,84.9584205707458,0.8767551660193089,0.8486274500891665,0.8681662648213271,0.8465208379487692,0.8859769029791298,0.8736946621442024,0.8463424201848238,0.8670247118767923,0.8450686713042067,0.881684285360953
tower seamlessm4t,0.4955947136563877,0.22172949002217296,0.21872265966754156,0.1779359430604982,0.4941087039148613,86.01095128742084,85.60199665646596,85.23550928851438,84.26783986391405,86.38421326415795,85.59568420065656,85.45322965776049,85.08125776248028,84.12782357101055,86.02315556287131,0.8790647895916444,0.857216715922129,0.874719730644184,0.8544980242565575,0.8966552678230868,0.8754556955244507,0.8557554135189914,0.873716749734705,0.8530480149748911,0.8933467881131744
