direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
de_en,owsm4.0-ctc,1.1601,12.3396,0.4463,49.4757
de_en,qwen2audio-7b,2.2042,4.9845,0.8078,57.825
de_en,desta2-8b,0.0,4.1429,0.8191,60.2134
de_en,whisper,0.0,4.5372,0.8651,61.0837
de_en,canary-v2,0.0,4.1632,0.8658,62.4004
de_en,phi4multimodal,4.8724,3.8985,0.8746,63.5479
de_en,seamlessm4t,0.0,3.6152,0.8948,63.5775
de_en,gemma_owsm4.0-ctc,0.116,2.9401,0.9022,64.6116
de_en,gemma_seamlessm4t,0.0,2.7,0.9082,64.1758
de_en,aya_seamlessm4t,0.0,2.5106,0.9184,65.2319
de_en,tower_owsm4.0-ctc,0.0,2.7371,0.9184,67.4823
de_en,tower_seamlessm4t,0.0,2.6115,0.9187,67.4747
de_en,aya_owsm4.0-ctc,0.0,2.6074,0.9188,65.927
de_en,gemma_canary-v2,0.0,2.3228,0.9307,65.2543
de_en,gemma_whisper,0.0,2.3266,0.9317,65.0647
de_en,tower_canary-v2,0.0,2.3204,0.9378,68.3454
de_en,aya_canary-v2,0.0,2.1745,0.9386,66.3735
de_en,voxtral-small-24b,0.0,2.1276,0.9405,68.4401
de_en,aya_whisper,0.0,2.1596,0.9406,66.5644
de_en,tower_whisper,0.0,2.2676,0.9414,68.3684
