direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_de,phi4multimodal,25.585,7.9364,0.7092,52.9767
en_de,owsm4.0-ctc,0.156,9.4253,0.7766,54.9522
en_de,qwen2audio-7b,1.8721,4.18,0.8922,55.105
en_de,spirelm,0.312,3.6587,0.8961,57.1026
en_de,desta2-8b,0.0,3.0543,0.9161,55.3612
en_de,seamlessm4t,0.156,2.4148,0.9403,61.3662
en_de,canary-v2,0.0,2.3163,0.9447,61.9113
en_de,gemma_owsm4.0-ctc,0.0,1.7334,0.9576,61.4342
en_de,aya_owsm4.0-ctc,0.0,1.5431,0.9594,63.2241
en_de,tower_owsm4.0-ctc,0.0,1.6457,0.9604,64.962
en_de,gemma_seamlessm4t,0.0,1.3486,0.9654,61.4865
en_de,gemma_whisper,0.0,1.3646,0.9659,62.0023
en_de,aya_whisper,0.0,1.3047,0.9666,63.3557
en_de,gemma_canary-v2,0.0,1.3616,0.9669,62.0395
en_de,aya_seamlessm4t,0.0,1.2601,0.9671,63.4183
en_de,tower_whisper,0.0,1.3777,0.9684,65.3626
en_de,aya_canary-v2,0.0,1.2363,0.9688,63.675
en_de,tower_canary-v2,0.0,1.3312,0.969,65.7593
en_de,tower_seamlessm4t,0.0,1.2777,0.9693,65.4386
en_de,voxtral-small-24b,0.0,0.9994,0.9773,65.7745
