direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_es,owsm4.0-ctc,2.3328,11.9417,0.5657,45.8191
en_es,phi4multimodal,13.2193,6.0047,0.7978,50.3664
en_es,qwen2audio-7b,2.7994,5.2607,0.8118,49.2986
en_es,spirelm,0.6221,4.842,0.8283,51.2111
en_es,desta2-8b,0.1555,3.9985,0.8459,51.1853
en_es,seamlessm4t,0.6221,3.3466,0.9045,53.3843
en_es,canary-v2,0.6221,3.2377,0.9078,54.3982
en_es,gemma_owsm4.0-ctc,0.311,2.6811,0.9172,54.5376
en_es,aya_owsm4.0-ctc,0.311,2.6886,0.9185,56.0558
en_es,tower_owsm4.0-ctc,0.311,2.8024,0.9198,55.6696
en_es,aya_seamlessm4t,0.6221,2.3039,0.932,56.1289
en_es,gemma_seamlessm4t,0.311,2.2596,0.932,54.7128
en_es,gemma_whisper,0.311,2.2487,0.9323,54.952
en_es,gemma_canary-v2,0.311,2.2752,0.9338,55.2693
en_es,tower_whisper,0.311,2.3157,0.9342,55.9705
en_es,tower_seamlessm4t,0.311,2.2465,0.9357,55.7378
en_es,aya_whisper,0.311,2.2622,0.9364,56.5643
en_es,aya_canary-v2,0.4666,2.1957,0.9367,56.7542
en_es,tower_canary-v2,0.311,2.2575,0.9381,56.0857
en_es,voxtral-small-24b,0.4666,1.7593,0.9552,56.6931
