direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_fr,phi4multimodal,53.4314,15.402,0.3925,44.4111
en_fr,owsm4.0-ctc,0.817,13.2353,0.3966,53.1134
en_fr,desta2-8b,0.1634,4.1021,0.7445,60.0124
en_fr,spirelm,0.3268,5.162,0.7683,61.0373
en_fr,qwen2audio-7b,1.1438,4.867,0.8062,60.1779
en_fr,seamlessm4t,0.0,3.5239,0.8829,66.2128
en_fr,canary-v2,0.0,3.3952,0.8845,66.5428
en_fr,gemma_owsm4.0-ctc,0.0,2.8086,0.8918,64.3942
en_fr,tower_owsm4.0-ctc,0.3268,2.9872,0.8974,68.6511
en_fr,aya_owsm4.0-ctc,0.0,2.7418,0.9038,66.7157
en_fr,gemma_whisper,0.1634,2.4393,0.9076,64.1512
en_fr,gemma_seamlessm4t,0.3268,2.4287,0.9103,64.4363
en_fr,gemma_canary-v2,0.3268,2.4117,0.9109,64.7629
en_fr,tower_whisper,0.3268,2.5689,0.9123,69.1336
en_fr,tower_seamlessm4t,0.3268,2.5206,0.9137,68.6223
en_fr,tower_canary-v2,0.3268,2.503,0.9176,69.5943
en_fr,aya_whisper,0.1634,2.395,0.9204,66.6798
en_fr,aya_seamlessm4t,0.1634,2.3797,0.9217,66.488
en_fr,aya_canary-v2,0.0,2.3149,0.9259,67.1941
en_fr,voxtral-small-24b,0.1634,2.1668,0.9327,69.1436
