direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_it,owsm4.0-ctc,2.5,13.5438,0.4652,44.3052
en_it,desta2-8b,0.1562,4.4679,0.7827,50.9021
en_it,qwen2audio-7b,2.5,5.8117,0.7895,49.1896
en_it,spirelm,0.0,4.622,0.8201,52.6549
en_it,phi4multimodal,4.2188,4.8673,0.8466,53.2508
en_it,seamlessm4t,0.0,3.2341,0.899,55.3554
en_it,canary-v2,0.0,3.1681,0.9018,56.08
en_it,aya_owsm4.0-ctc,0.0,2.6517,0.9155,57.7101
en_it,gemma_owsm4.0-ctc,0.0,2.5709,0.9192,56.4681
en_it,tower_owsm4.0-ctc,0.0,2.6762,0.9201,58.0755
en_it,gemma_whisper,0.1562,2.2309,0.9295,57.5614
en_it,gemma_seamlessm4t,0.0,2.1314,0.931,56.9002
en_it,aya_whisper,0.0,2.2217,0.9313,57.9712
en_it,tower_seamlessm4t,0.0,2.1638,0.9325,58.2984
en_it,aya_seamlessm4t,0.0,2.1855,0.9329,57.9068
en_it,tower_whisper,0.0,2.2396,0.9335,58.5569
en_it,gemma_canary-v2,0.0,2.0955,0.9368,57.2979
en_it,aya_canary-v2,0.0,2.1941,0.938,58.4242
en_it,tower_canary-v2,0.0,2.1788,0.9381,59.1226
en_it,voxtral-small-24b,0.0,1.682,0.9518,59.2434
