direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_nl,owsm4.0-ctc,1.7279,14.5978,0.4938,44.6829
en_nl,phi4multimodal,22.6782,10.0695,0.6535,43.8429
en_nl,qwen2audio-7b,1.7279,5.7847,0.8246,50.2956
en_nl,spirelm,0.432,4.2509,0.8649,52.915
en_nl,desta2-8b,0.216,4.3964,0.8693,51.873
en_nl,canary-v2,0.0,2.9182,0.9278,57.7373
en_nl,seamlessm4t,0.0,2.8584,0.9353,56.5016
en_nl,aya_owsm4.0-ctc,0.0,2.4403,0.9379,56.8787
en_nl,tower_owsm4.0-ctc,0.0,2.4251,0.9399,58.7385
en_nl,gemma_owsm4.0-ctc,0.0,2.4926,0.9412,55.7456
en_nl,gemma_seamlessm4t,0.432,2.1937,0.9481,56.2486
en_nl,gemma_whisper,0.0,2.1282,0.9513,56.2715
en_nl,aya_seamlessm4t,0.0,2.0332,0.9521,57.0977
en_nl,aya_whisper,0.0,2.0339,0.9526,57.0291
en_nl,gemma_canary-v2,0.0,1.9754,0.9543,56.3727
en_nl,tower_whisper,0.0,1.9875,0.9551,59.0941
en_nl,tower_canary-v2,0.432,1.9793,0.9552,59.2814
en_nl,tower_seamlessm4t,0.0,1.9254,0.9555,58.7029
en_nl,aya_canary-v2,0.0,1.954,0.9573,57.4525
en_nl,voxtral-small-24b,0.0,1.6384,0.97,58.5003
