direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_pt,owsm4.0-ctc,34.7287,17.1879,0.3448,42.3786
en_pt,phi4multimodal,10.2326,6.552,0.8011,61.3841
en_pt,qwen2audio-7b,2.6357,5.8891,0.8245,59.9267
en_pt,spirelm,0.7752,5.5345,0.8301,62.3043
en_pt,desta2-8b,0.6202,4.7737,0.8317,60.6751
en_pt,seamlessm4t,0.3101,3.816,0.9052,67.7925
en_pt,canary-v2,0.155,3.5276,0.9072,68.1139
en_pt,tower_owsm4.0-ctc,0.7752,3.4305,0.9144,67.9992
en_pt,aya_owsm4.0-ctc,0.3101,3.0892,0.9173,67.6003
en_pt,gemma_owsm4.0-ctc,0.3101,3.2405,0.9197,64.394
en_pt,tower_whisper,0.6202,2.8331,0.9302,68.5824
en_pt,tower_seamlessm4t,0.3101,2.7608,0.9322,67.8801
en_pt,aya_seamlessm4t,0.155,2.6434,0.9336,67.8126
en_pt,tower_canary-v2,0.4651,2.6992,0.9346,68.8821
en_pt,aya_whisper,0.3101,2.6506,0.9359,68.0723
en_pt,gemma_seamlessm4t,0.155,2.6548,0.937,64.5338
en_pt,gemma_whisper,0.4651,2.7652,0.937,64.8652
en_pt,aya_canary-v2,0.3101,2.5975,0.9378,68.571
en_pt,gemma_canary-v2,0.0,2.6433,0.9398,65.1819
en_pt,voxtral-small-24b,0.6202,2.3931,0.947,69.5057
