direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
en_zh,canary-v2,100.0,25.0,0.0,2.4877
en_zh,desta2-8b,34.2105,11.4449,0.4884,12.9114
en_zh,owsm4.0-ctc,0.0,7.783,0.5776,24.7182
en_zh,spirelm,0.0,4.6299,0.6915,25.5222
en_zh,seamlessm4t,0.0,5.0379,0.7373,24.983
en_zh,phi4multimodal,8.2043,5.0204,0.7709,28.9535
en_zh,qwen2audio-7b,0.4644,3.4173,0.8046,28.7036
en_zh,gemma_owsm4.0-ctc,0.0,2.4902,0.8727,32.0368
en_zh,aya_owsm4.0-ctc,0.0,2.566,0.8729,34.0041
en_zh,tower_owsm4.0-ctc,0.0,2.3833,0.8787,36.7284
en_zh,gemma_whisper,0.0,2.2611,0.8792,32.845
en_zh,aya_whisper,0.1548,2.3884,0.8824,34.9709
en_zh,aya_seamlessm4t,0.0,2.3664,0.8858,34.0477
en_zh,gemma_canary-v2,0.0,2.2717,0.8861,32.7556
en_zh,gemma_seamlessm4t,0.0,2.267,0.8877,31.9005
en_zh,aya_canary-v2,0.0,2.3397,0.8881,34.861
en_zh,tower_whisper,0.0,2.2486,0.8884,36.8845
en_zh,tower_seamlessm4t,0.0,2.2645,0.8932,36.3863
en_zh,tower_canary-v2,0.0,2.1584,0.8979,37.3296
en_zh,voxtral-small-24b,0.0,2.1292,0.898,37.6182
