direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
es_en,owsm4.0-ctc,0.2203,9.95,0.5109,47.7812
es_en,qwen2audio-7b,0.8811,4.156,0.8129,53.0973
es_en,desta2-8b,0.0,3.4102,0.8159,55.3174
es_en,canary-v2,0.3304,4.1719,0.8357,55.1201
es_en,whisper,0.0,3.5504,0.8703,54.3274
es_en,phi4multimodal,3.0837,3.4289,0.8765,56.1602
es_en,seamlessm4t,0.0,3.268,0.8892,56.4942
es_en,gemma_owsm4.0-ctc,0.3304,2.6938,0.9003,57.0916
es_en,gemma_seamlessm4t,0.0,2.3451,0.915,56.9287
es_en,tower_seamlessm4t,0.0,2.4273,0.9153,58.9576
es_en,tower_owsm4.0-ctc,0.0,2.3905,0.9164,59.5002
es_en,aya_owsm4.0-ctc,0.1101,2.3379,0.9174,58.6377
es_en,aya_seamlessm4t,0.0,2.3319,0.9182,58.452
es_en,gemma_whisper,0.0,2.1294,0.9286,57.8329
es_en,gemma_canary-v2,0.1101,2.1363,0.9325,57.5544
es_en,voxtral-small-24b,0.0,1.8989,0.9333,61.6075
es_en,tower_canary-v2,0.0,2.0238,0.9338,60.2492
es_en,tower_whisper,0.0,2.0027,0.9354,60.3385
es_en,aya_canary-v2,0.0,1.9949,0.9368,59.0426
es_en,aya_whisper,0.0,1.994,0.9374,59.1331
