direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
fr_en,owsm4.0-ctc,0.0,10.1924,0.4834,51.4638
fr_en,desta2-8b,0.4438,5.1354,0.7121,55.4032
fr_en,qwen2audio-7b,1.3314,4.5952,0.7764,57.8956
fr_en,whisper,0.1479,4.2982,0.8334,59.0357
fr_en,canary-v2,0.0,3.9309,0.8451,61.1912
fr_en,gemma_owsm4.0-ctc,0.2959,3.5128,0.8491,61.455
fr_en,aya_owsm4.0-ctc,0.0,3.3027,0.8595,63.0068
fr_en,tower_owsm4.0-ctc,0.0,3.3845,0.8615,64.9424
fr_en,seamlessm4t,0.0,3.6083,0.8708,61.5232
fr_en,gemma_seamlessm4t,0.4438,3.0162,0.8795,62.52
fr_en,aya_seamlessm4t,0.2959,2.858,0.8882,63.639
fr_en,tower_seamlessm4t,0.0,2.9002,0.8897,65.6134
fr_en,gemma_whisper,0.2959,2.7858,0.8921,62.9368
fr_en,aya_whisper,0.2959,2.6655,0.8946,64.3372
fr_en,gemma_canary-v2,0.2959,2.6686,0.9023,63.0058
fr_en,phi4multimodal,0.2959,2.8532,0.9025,62.8331
fr_en,aya_canary-v2,0.2959,2.5243,0.9068,64.6558
fr_en,tower_whisper,0.0,2.5451,0.9072,66.7139
fr_en,tower_canary-v2,0.0,2.4878,0.9127,66.9834
fr_en,voxtral-small-24b,0.2959,2.356,0.9132,66.8123
