direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
it_en,owsm4.0-ctc,0.578,10.5181,0.4672,46.9563
it_en,desta2-8b,0.2312,4.0877,0.778,51.41
it_en,qwen2audio-7b,0.6936,4.03,0.8253,53.1956
it_en,canary-v2,0.0,3.8531,0.8484,55.7892
it_en,whisper,0.0,3.6487,0.8743,54.9433
it_en,phi4multimodal,4.3931,3.5675,0.881,56.5685
it_en,gemma_owsm4.0-ctc,0.0,2.5757,0.9023,57.6441
it_en,seamlessm4t,0.0,2.9504,0.9098,57.3602
it_en,tower_owsm4.0-ctc,0.3468,2.4549,0.9122,60.6911
it_en,aya_owsm4.0-ctc,0.2312,2.3626,0.9171,59.2749
it_en,gemma_seamlessm4t,0.0,2.2781,0.9191,57.6308
it_en,gemma_canary-v2,0.0,2.2034,0.9215,57.7661
it_en,tower_seamlessm4t,0.0,2.2022,0.9253,60.4931
it_en,gemma_whisper,0.0,2.0823,0.9282,57.9351
it_en,aya_canary-v2,0.1156,2.0844,0.9285,59.9134
it_en,aya_seamlessm4t,0.2312,2.1358,0.9285,59.3908
it_en,tower_canary-v2,0.0,2.0868,0.9286,61.0532
it_en,tower_whisper,0.0,1.9871,0.9352,61.1406
it_en,voxtral-small-24b,0.1156,1.922,0.9356,61.9656
it_en,aya_whisper,0.0,1.987,0.9359,60.0022
