direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
pt_en,owsm4.0-ctc,0.1088,9.6585,0.5486,55.2293
pt_en,qwen2audio-7b,1.0881,4.5803,0.7947,61.0246
pt_en,desta2-8b,0.0,3.8246,0.8048,63.2163
pt_en,canary-v2,0.0,3.8229,0.8505,64.4542
pt_en,seamlessm4t,0.1088,3.6813,0.8691,64.7698
pt_en,tower_seamlessm4t,0.0,3.1332,0.8815,68.1067
pt_en,gemma_seamlessm4t,0.0,2.8029,0.8835,66.1012
pt_en,whisper,0.0,3.4828,0.8838,64.7088
pt_en,aya_seamlessm4t,0.1088,2.8096,0.8887,66.8715
pt_en,gemma_owsm4.0-ctc,0.0,2.8125,0.8915,66.7387
pt_en,aya_owsm4.0-ctc,0.2176,2.8236,0.8932,67.5238
pt_en,tower_owsm4.0-ctc,0.2176,2.8434,0.8979,69.9046
pt_en,gemma_canary-v2,0.0,2.4674,0.9102,67.1039
pt_en,gemma_whisper,0.3264,2.4219,0.9157,67.234
pt_en,phi4multimodal,0.2176,2.6303,0.9169,66.9603
pt_en,aya_canary-v2,0.0,2.3515,0.9229,68.0816
pt_en,tower_canary-v2,0.0,2.424,0.9238,70.6735
pt_en,tower_whisper,0.3264,2.3863,0.9243,70.8205
pt_en,aya_whisper,0.3264,2.2966,0.9268,68.2037
pt_en,voxtral-small-24b,0.7617,2.18,0.9312,71.1709
