direction,system,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy,chrF
zh_en,canary-v2,65.6085,24.3884,0.0441,8.2983
zh_en,tower_canary-v2,43.9153,19.028,0.1003,8.7174
zh_en,aya_canary-v2,9.8413,18.8023,0.1381,8.5854
zh_en,owsm4.0-ctc,3.4921,19.5131,0.2072,20.3813
zh_en,desta2-8b,0.6349,4.3109,0.7453,46.5472
zh_en,whisper,0.2116,5.9495,0.7641,45.5922
zh_en,qwen2audio-7b,5.0794,3.9521,0.8176,48.0031
zh_en,phi4multimodal,5.7143,3.7811,0.8353,51.5074
zh_en,voxtral-small-24b,0.2116,3.0309,0.8567,51.515
zh_en,gemma_owsm4.0-ctc,0.5291,3.1692,0.8659,51.554
zh_en,seamlessm4t,0.0,3.4874,0.8669,52.3303
zh_en,tower_owsm4.0-ctc,0.0,2.6813,0.8854,55.5565
zh_en,aya_owsm4.0-ctc,0.2116,2.3235,0.8957,52.8847
zh_en,gemma_whisper,0.4233,2.0381,0.907,53.7328
zh_en,gemma_seamlessm4t,0.4233,2.124,0.9077,53.3179
zh_en,tower_whisper,0.1058,1.7881,0.9219,57.3063
zh_en,tower_seamlessm4t,0.0,1.8434,0.9219,57.2853
zh_en,aya_seamlessm4t,0.4233,1.8129,0.9234,54.3698
zh_en,aya_whisper,0.1058,1.7166,0.9235,54.3093
