system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
whisper,,,,,,,,0.1655,2.1379,,-0.8086,,0.5693
seamlessm4t,-1.4887,-1.3061,-1.2159,-0.2312,-0.3341,-0.4992,-1.7873,-0.5366,0.1228,,-0.0548,,0.9927
canary-v2,-0.2676,-2.1557,-0.6496,-0.8058,0.1086,0.5975,0.0,2.8941,-0.9583,,-5.5301,,-3.2108
owsm4.0-ctc,-2.9677,-3.7509,-42.689,0.0369,-1.4575,4.6472,-3.2317,-1.8973,3.6525,,3.8047,,3.069
aya_whisper,-1.186,-0.5901,-0.6678,-0.4572,0.023,0.1475,-1.4325,0.1513,0.6666,,-1.6937,,0.7988
gemma_whisper,-0.9838,-0.2161,-0.2986,-1.2735,0.0516,-0.9763,-0.6242,0.4113,-0.0173,,-2.0524,,0.767
tower_whisper,-1.0153,-0.949,-1.2943,-0.4545,-0.3948,-1.041,-0.4176,-0.0187,0.7877,,0.3796,,0.9124
aya_seamlessm4t,-1.6905,-1.3069,-1.5768,-1.1155,-0.4139,0.1734,-1.0371,-0.2582,0.5119,,0.2524,,-0.0846
gemma_seamlessm4t,-1.4338,-1.0906,-2.7037,-1.0282,-1.3726,-0.192,-0.7003,-0.5857,0.3894,,0.6703,,-0.0326
tower_seamlessm4t,-1.2996,-1.6236,-1.667,-2.0212,-0.7197,-0.9339,-1.4828,-0.3636,0.6942,,0.6103,,-0.1438
aya_canary-v2,-0.3765,-0.6175,0.4666,-0.5613,-0.0735,-0.2975,-0.0644,0.3546,1.0275,,-1.1144,,-15.1193
gemma_canary-v2,-0.8223,-0.2058,0.067,-0.7905,-0.0461,-0.3885,-0.411,0.4039,0.7979,,-0.8857,,
tower_canary-v2,-0.16,-0.029,0.4434,0.1803,0.4793,-0.2295,0.1441,0.3332,0.6548,,-1.7474,,-7.3992
aya_owsm4.0-ctc,-0.9603,-1.7272,0.1671,-0.8351,-0.8302,-0.5024,-0.9021,-0.5559,2.399,,-0.6053,,-0.4476
gemma_owsm4.0-ctc,0.9975,-0.8712,0.0476,0.6889,-0.3415,-0.0505,-0.1171,-0.0167,-0.3933,,0.2502,,0.5238
tower_owsm4.0-ctc,-1.3318,0.4479,0.2365,0.3335,0.0192,-1.921,-0.6775,-0.9269,2.5088,,1.0339,,-0.2442
desta2-8b,-3.0438,-2.965,-1.7241,-3.7922,0.2698,-1.719,-3.3593,-0.0469,0.2236,,-5.4315,,-1.5094
qwen2audio-7b,1.2402,-2.1055,-3.0184,-3.6775,-1.9148,-2.3172,-0.2331,-0.2263,1.7759,,-2.3409,,1.8994
phi4multimodal,-1.606,-2.9881,-2.1433,-3.2062,-1.0746,-0.466,-0.6935,-0.0665,1.9596,,0.2865,,0.7493
voxtral-small-24b,-1.0835,-0.8284,-1.2594,-0.1223,-0.8214,-0.9626,-0.9788,0.8,0.6517,,0.2917,,0.5693
spirelm,-0.8127,-0.0088,-2.1659,-1.5883,0.5924,0.6277,-1.0968,,,,,,
qwen3omni,-0.8166,-0.4375,-0.3202,-0.88,-0.2858,0.3728,-0.2271,-0.2722,0.178,,-0.918,,-0.1505
