system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
aya_canary-v2,1.4418,1.2376,2.6437,1.2642,0.8777,1.101,1.0055,-1.2848,-0.4775,,1.2771,,-4.7516
aya_owsm4.0-ctc,2.897,3.354,1.6052,2.3828,1.0816,1.1283,2.3231,0.9781,-0.5987,,0.6722,,1.2654
aya_seamlessm4t,2.3597,1.9869,3.2802,1.755,1.0494,-0.0638,1.8023,0.8417,-0.4054,,-0.0445,,0.9274
aya_whisper,1.9215,0.682,0.8309,1.1202,1.0197,0.6526,1.3958,-0.5911,0.016,,2.4394,,-0.2526
canary-v2,1.777,3.9023,1.1078,1.3443,0.3456,0.4227,0.0,-3.6345,3.5462,,2.9404,,-11.2293
desta2-8b,1.7518,7.7994,1.5123,4.067,-0.4582,1.6416,-13.8689,-2.1868,-3.655,,10.7097,,1.4761
gemma_canary-v2,0.976,0.2468,0.7871,1.9295,0.6332,1.0874,0.5539,-0.3366,-0.647,,-0.278,,
gemma_owsm4.0-ctc,-0.7577,-0.578,0.0087,-1.174,0.0682,-0.1225,0.7903,-0.1921,0.7659,,-0.5818,,-0.0047
gemma_seamlessm4t,2.1963,3.001,2.5321,2.5356,1.5168,1.363,2.3906,0.3471,1.5248,,-3.4468,,-0.3752
gemma_whisper,2.4588,2.437,0.9099,1.7014,0.8723,2.1331,3.7368,-0.6301,0.6503,,1.0844,,-2.1375
owsm4.0-ctc,-1.5597,-1.1154,-52.6763,-5.5686,-0.2249,-4.5734,5.9378,1.4994,-14.0426,,-17.43,,-8.6001
phi4multimodal,4.7247,-2.0335,-0.1045,0.44,0.8006,10.2363,2.1695,-0.8086,-1.1272,,-0.7386,,-0.8596
qwen2audio-7b,-1.1042,2.4261,3.7656,0.8091,2.0223,1.9061,1.6272,-0.6856,-4.132,,3.2265,,-0.4076
seamlessm4t,2.2673,1.4333,1.8238,0.2804,0.4299,0.0661,3.1029,-0.5376,0.5897,,-0.1565,,-0.4456
spirelm,4.8713,-1.1766,2.172,0.74,-1.6942,-0.6947,1.1333,,,,,,
tower_canary-v2,1.0584,1.8081,1.5105,1.29,-0.2331,0.4341,0.7283,-1.1987,-0.4054,,1.2068,,-15.8536
tower_owsm4.0-ctc,2.4643,1.4476,2.5967,0.8079,0.5212,3.1651,1.1631,0.9364,-1.126,,-2.145,,1.1865
tower_seamlessm4t,2.1398,4.0561,3.1779,3.4091,1.356,1.2789,1.7148,-0.3045,-1.057,,-1.762,,-0.1827
tower_whisper,1.7058,2.0292,0.6008,1.6473,0.6706,1.6677,2.3006,0.0729,-1.6509,,0.7718,,-2.1805
voxtral-small-24b,1.6781,0.7529,0.2323,0.5124,0.6505,0.6219,2.5599,-0.6401,0.5511,,2.7183,,-1.4499
whisper,,,,,,,,-0.1226,-3.6259,,2.0933,,-1.3217
