system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
aya_canary-v2,0.0133,0.0114,0.0241,0.0117,0.0085,0.0105,0.0089,-0.0121,-0.0043,,0.0116,,-0.0067
aya_owsm4.0-ctc,0.0258,0.0297,0.0143,0.0213,0.0103,0.0106,0.02,0.009,-0.0052,,0.0061,,0.0112
aya_seamlessm4t,0.0217,0.0181,0.0299,0.0161,0.0101,-0.0006,0.0158,0.0077,-0.0036,,-0.0004,,0.0086
aya_whisper,0.0177,0.0062,0.0076,0.0103,0.0098,0.0062,0.0122,-0.0055,0.0001,,0.0221,,-0.0023
canary-v2,0.0159,0.0337,0.0098,0.012,0.0033,0.0039,0.0,-0.0307,0.0298,,0.0237,,-0.0051
desta2-8b,0.0144,0.0561,0.0124,0.031,-0.0042,0.0142,-0.0722,-0.0184,-0.0264,,0.0764,,0.011
gemma_canary-v2,0.009,0.0023,0.0073,0.0179,0.0061,0.0104,0.0048,-0.0031,-0.0058,,-0.0026,,
gemma_owsm4.0-ctc,-0.0069,-0.0052,0.0001,-0.0107,0.0007,-0.0012,0.0068,-0.0017,0.0066,,-0.0051,,-0.0
gemma_seamlessm4t,0.0201,0.0272,0.0235,0.0231,0.0145,0.013,0.0209,0.0032,0.0133,,-0.032,,-0.0034
gemma_whisper,0.0224,0.022,0.0085,0.0157,0.0084,0.0202,0.0318,-0.0058,0.0058,,0.01,,-0.0197
owsm4.0-ctc,-0.009,-0.0044,-0.261,-0.0275,-0.0017,-0.0231,0.033,0.0078,-0.0711,,-0.0872,,-0.0184
phi4multimodal,0.0365,-0.0084,-0.0008,0.0037,0.0056,0.0659,0.0165,-0.0072,-0.0102,,-0.0065,,-0.0073
qwen2audio-7b,-0.0087,0.0196,0.0313,0.0064,0.0175,0.0155,0.013,-0.0057,-0.0333,,0.0264,,-0.0034
seamlessm4t,0.0201,0.0125,0.0163,0.0025,0.004,0.0006,0.0225,-0.0048,0.0051,,-0.0014,,-0.0039
spirelm,0.0393,-0.0091,0.0178,0.006,-0.0152,-0.0061,0.0079,,,,,,
tower_canary-v2,0.0098,0.0164,0.0138,0.012,-0.0023,0.0042,0.0065,-0.0112,-0.0037,,0.011,,-0.0161
tower_owsm4.0-ctc,0.0221,0.0129,0.0233,0.0073,0.005,0.0294,0.0101,0.0086,-0.0098,,-0.0197,,0.0104
tower_seamlessm4t,0.0196,0.0364,0.029,0.0309,0.013,0.0122,0.0152,-0.0028,-0.0095,,-0.0165,,-0.0017
tower_whisper,0.0156,0.0183,0.0055,0.0151,0.0065,0.0158,0.0202,0.0007,-0.0152,,0.0072,,-0.0204
voxtral-small-24b,0.0158,0.007,0.0022,0.0049,0.0063,0.006,0.0226,-0.006,0.0051,,0.0251,,-0.0126
whisper,,,,,,,,-0.0011,-0.0306,,0.0176,,-0.0102
