system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
aya_canary-v2,0.4666,0.0,0.3101,0.0,0.0,0.0,0.0,0.0,0.2959,0.0,0.1156,0.0,9.8413
aya_owsm4.0-ctc,0.311,0.0,0.3101,0.0,0.0,0.0,0.0,0.1101,0.0,0.2176,0.2312,0.0,0.2116
aya_seamlessm4t,0.6221,0.1634,0.155,0.0,0.0,0.0,0.0,0.0,0.2959,0.1088,0.2312,0.0,0.4233
aya_whisper,0.311,0.1634,0.3101,0.0,0.0,0.0,0.1548,0.0,0.2959,0.3264,0.0,0.0,0.1058
canary-v2,0.6221,0.0,0.155,0.0,0.0,0.0,100.0,0.3304,0.0,0.0,0.0,0.0,65.6085
desta2-8b,0.1555,0.1634,0.6202,0.1562,0.0,0.216,34.2105,0.0,0.4438,0.0,0.2312,0.0,0.6349
gemma_canary-v2,0.311,0.3268,0.0,0.0,0.0,0.0,0.0,0.1101,0.2959,0.0,0.0,0.0,
gemma_owsm4.0-ctc,0.311,0.0,0.3101,0.0,0.0,0.0,0.0,0.3304,0.2959,0.0,0.0,0.116,0.5291
gemma_seamlessm4t,0.311,0.3268,0.155,0.0,0.0,0.432,0.0,0.0,0.4438,0.0,0.0,0.0,0.4233
gemma_whisper,0.311,0.1634,0.4651,0.1562,0.0,0.0,0.0,0.0,0.2959,0.3264,0.0,0.0,0.4233
owsm4.0-ctc,2.3328,0.817,34.7287,2.5,0.156,1.7279,0.0,0.2203,0.0,0.1088,0.578,1.1601,3.4921
phi4multimodal,13.2193,53.4314,10.2326,4.2188,25.585,22.6782,8.2043,3.0837,0.2959,0.2176,4.3931,4.8724,5.7143
qwen2audio-7b,2.7994,1.1438,2.6357,2.5,1.8721,1.7279,0.4644,0.8811,1.3314,1.0881,0.6936,2.2042,5.0794
seamlessm4t,0.6221,0.0,0.3101,0.0,0.156,0.0,0.0,0.0,0.0,0.1088,0.0,0.0,0.0
spirelm,0.6221,0.3268,0.7752,0.0,0.312,0.432,0.0,,,,,,
tower_canary-v2,0.311,0.3268,0.4651,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,43.9153
tower_owsm4.0-ctc,0.311,0.3268,0.7752,0.0,0.0,0.0,0.0,0.0,0.0,0.2176,0.3468,0.0,0.0
tower_seamlessm4t,0.311,0.3268,0.3101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tower_whisper,0.311,0.3268,0.6202,0.0,0.0,0.0,0.0,0.0,0.0,0.3264,0.0,0.0,0.1058
voxtral-small-24b,0.4666,0.1634,0.6202,0.0,0.0,0.0,0.0,0.0,0.2959,0.7617,0.1156,0.0,0.2116
whisper,,,,,,,,0.0,0.1479,0.0,0.0,0.0,0.2116
