system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
aya_canary-v2,2.1957,2.3149,2.5975,2.1941,1.2363,1.954,2.3397,1.9949,2.5243,2.3515,2.0844,2.1745,18.8023
aya_owsm4.0-ctc,2.6886,2.7418,3.0892,2.6517,1.5431,2.4403,2.566,2.3379,3.3027,2.8236,2.3626,2.6074,2.3235
aya_seamlessm4t,2.3039,2.3797,2.6434,2.1855,1.2601,2.0332,2.3664,2.3319,2.858,2.8096,2.1358,2.5106,1.8129
aya_whisper,2.2622,2.395,2.6506,2.2217,1.3047,2.0339,2.3884,1.994,2.6655,2.2966,1.987,2.1596,1.7166
canary-v2,3.2377,3.3952,3.5276,3.1681,2.3163,2.9182,25.0,4.1719,3.9309,3.8229,3.8531,4.1632,24.3884
desta2-8b,3.9985,4.1021,4.7737,4.4679,3.0543,4.3964,11.4449,3.4102,5.1354,3.8246,4.0877,4.1429,4.3109
gemma_canary-v2,2.2752,2.4117,2.6433,2.0955,1.3616,1.9754,2.2717,2.1363,2.6686,2.4674,2.2034,2.3228,
gemma_owsm4.0-ctc,2.6811,2.8086,3.2405,2.5709,1.7334,2.4926,2.4902,2.6938,3.5128,2.8125,2.5757,2.9401,3.1692
gemma_seamlessm4t,2.2596,2.4287,2.6548,2.1314,1.3486,2.1937,2.267,2.3451,3.0162,2.8029,2.2781,2.7,2.124
gemma_whisper,2.2487,2.4393,2.7652,2.2309,1.3646,2.1282,2.2611,2.1294,2.7858,2.4219,2.0823,2.3266,2.0381
owsm4.0-ctc,11.9417,13.2353,17.1879,13.5438,9.4253,14.5978,7.783,9.95,10.1924,9.6585,10.5181,12.3396,19.5131
phi4multimodal,6.0047,15.402,6.552,4.8673,7.9364,10.0695,5.0204,3.4289,2.8532,2.6303,3.5675,3.8985,3.7811
qwen2audio-7b,5.2607,4.867,5.8891,5.8117,4.18,5.7847,3.4173,4.156,4.5952,4.5803,4.03,4.9845,3.9521
seamlessm4t,3.3466,3.5239,3.816,3.2341,2.4148,2.8584,5.0379,3.268,3.6083,3.6813,2.9504,3.6152,3.4874
spirelm,4.842,5.162,5.5345,4.622,3.6587,4.2509,4.6299,,,,,,
tower_canary-v2,2.2575,2.503,2.6992,2.1788,1.3312,1.9793,2.1584,2.0238,2.4878,2.424,2.0868,2.3204,19.028
tower_owsm4.0-ctc,2.8024,2.9872,3.4305,2.6762,1.6457,2.4251,2.3833,2.3905,3.3845,2.8434,2.4549,2.7371,2.6813
tower_seamlessm4t,2.2465,2.5206,2.7608,2.1638,1.2777,1.9254,2.2645,2.4273,2.9002,3.1332,2.2022,2.6115,1.8434
tower_whisper,2.3157,2.5689,2.8331,2.2396,1.3777,1.9875,2.2486,2.0027,2.5451,2.3863,1.9871,2.2676,1.7881
voxtral-small-24b,1.7593,2.1668,2.3931,1.682,0.9994,1.6384,2.1292,1.8989,2.356,2.18,1.922,2.1276,3.0309
whisper,,,,,,,,3.5504,4.2982,3.4828,3.6487,4.5372,5.9495
