system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,es_en,fr_en,it_en,zh_en
whisper,,,,,,,,85.2016,81.2407,84.5607,77.3998
seamlessm4t,90.8107,87.2749,86.7816,87.3313,89.2891,84.5064,80.3926,86.8953,84.9704,87.9563,86.3212
canary-v2,90.1436,87.2535,87.2765,86.8836,88.0192,85.6668,100.0,82.4359,85.6304,83.2214,69.8068
owsm4.0-ctc,62.8009,55.6099,48.6761,49.7428,41.3755,74.8519,68.5574,62.3811,57.2919,56.5992,24.9978
aya_whisper,94.6175,91.2498,91.1089,90.629,91.8884,89.6494,91.238,91.428,89.9944,92.579,93.4546
gemma_whisper,94.3546,91.3306,90.7056,91.3874,92.3545,88.9921,90.8198,90.9149,89.2037,92.0037,92.5324
tower_whisper,94.4577,91.0353,90.5603,90.6403,92.3228,89.4079,91.0535,91.5517,89.7171,92.4027,92.932
aya_seamlessm4t,95.036,91.8985,91.4046,90.9447,92.0261,89.8734,91.0584,90.6993,88.9894,91.6047,93.7638
gemma_seamlessm4t,95.0684,91.6088,90.8993,91.0016,91.9671,90.3104,90.7861,90.7726,87.8007,90.2469,92.1566
tower_seamlessm4t,94.7205,91.6534,90.9918,91.8883,93.037,89.6555,91.5558,89.9837,87.952,91.9677,93.3139
aya_canary-v2,95.0088,91.6363,91.3821,90.8775,92.5584,89.6699,90.776,91.7076,89.7408,92.0978,37.5807
gemma_canary-v2,94.9004,91.1152,90.694,91.302,92.4722,88.6749,90.8433,91.2944,88.6041,91.0829,
tower_canary-v2,94.2339,91.0111,90.3544,90.6805,92.7442,89.4118,91.1382,91.658,89.3246,91.9545,72.4669
aya_owsm4.0-ctc,94.2395,89.6556,90.2292,89.112,90.8712,87.1787,90.4169,91.0962,85.9332,90.8942,91.3665
gemma_owsm4.0-ctc,92.937,88.6035,89.4448,89.017,90.7548,86.9079,89.9291,89.6073,86.7679,88.401,87.3931
tower_owsm4.0-ctc,92.6849,89.2725,88.6293,88.1166,91.3784,86.7841,90.5865,90.8463,85.0598,90.7396,89.4682
desta2-8b,88.1263,85.0396,85.2375,84.5913,84.2214,81.9731,90.9582,87.2047,79.9918,83.8563,84.9839
qwen2audio-7b,86.5188,81.1015,82.6586,80.7816,78.7856,79.7175,86.7655,85.1199,82.5833,83.4657,88.911
phi4multimodal,95.1305,89.0414,93.2353,85.7902,81.4633,84.3505,88.5302,89.3769,87.9102,90.9621,90.3378
voxtral-small-24b,96.3202,93.6914,92.0655,93.2004,94.3391,91.349,91.272,91.9252,90.887,93.2123,88.2303
spirelm,85.1526,81.7922,80.1284,81.7051,84.0683,79.1671,82.154,,,,
qwen3omni,95.1788,92.4451,91.9921,92.9698,91.5017,90.6109,92.131,91.92,91.6681,92.7931,95.6662
