system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,es_en,fr_en,it_en,zh_en
whisper,,,,,,,,85.3429,83.0155,83.8824,77.8429
seamlessm4t,90.5083,85.9947,85.6628,87.1298,88.8457,83.4912,78.981,86.4315,85.075,87.9081,87.1867
canary-v2,90.2416,87.0206,85.4348,86.1891,88.5483,85.1139,100.0,84.8927,84.8176,78.8603,67.6352
owsm4.0-ctc,61.8988,54.0072,46.9163,49.7612,43.392,52.4581,66.4112,61.2196,59.4639,58.8378,25.7893
aya_whisper,94.6393,90.1802,90.5745,90.2166,92.0241,89.0547,89.9496,91.5665,90.5983,91.037,94.2071
gemma_whisper,94.4033,90.4409,90.51,90.2382,91.4615,88.7271,90.2564,91.2903,89.1883,90.1533,93.2475
tower_whisper,94.0862,90.1204,89.7089,90.2302,91.3716,88.2655,90.6748,91.5345,90.4294,92.7548,93.7877
aya_seamlessm4t,94.6443,90.3708,90.2254,89.9414,92.186,88.4782,90.1237,90.4657,89.4473,91.8364,93.6846
gemma_seamlessm4t,93.7812,90.3139,89.9186,90.0754,91.7909,87.933,90.1547,90.244,88.144,90.856,92.1266
tower_seamlessm4t,94.0437,90.4776,89.538,90.0678,92.1761,88.1854,90.218,89.6577,88.5668,92.5324,93.1799
aya_canary-v2,94.939,91.2926,90.8213,90.3703,92.2838,90.0903,90.7176,92.0339,90.6725,91.0828,32.645
gemma_canary-v2,94.8567,90.372,90.5077,90.586,92.1144,88.7344,90.4714,91.6647,89.3168,90.2833,
tower_canary-v2,94.6878,90.8657,90.3281,90.8443,92.5319,89.81,91.2697,91.9644,89.9134,90.3753,67.4743
aya_owsm4.0-ctc,93.4636,88.8028,88.6972,88.374,90.4169,87.3247,89.6086,90.5925,88.0454,90.3473,90.9594
gemma_owsm4.0-ctc,92.6207,89.4962,88.6723,89.6345,90.709,86.9493,89.824,89.5923,86.4279,88.6227,87.8533
tower_owsm4.0-ctc,92.7027,88.0991,89.028,88.4115,89.6561,86.9898,89.9769,90.0119,87.2487,91.6875,89.2503
desta2-8b,88.3647,82.5277,82.783,81.5006,82.7981,80.5838,88.0019,87.1638,80.171,79.5363,83.7202
qwen2audio-7b,84.8933,82.12,80.9541,77.9162,77.0014,77.3819,86.5637,84.9277,84.0764,81.5566,90.6325
phi4multimodal,94.1192,87.6339,90.5302,83.1251,81.0854,82.5805,87.9204,89.3175,89.6673,91.2234,91.0198
voxtral-small-24b,95.5355,92.6872,91.3091,93.0866,93.4397,90.2129,90.3873,92.6665,91.4832,93.485,88.7355
spirelm,85.66,81.1329,80.1214,80.4277,84.5994,77.4887,81.2627,,,,
qwen3omni,94.9075,91.6963,91.5915,92.1588,91.844,90.3217,91.9223,91.6704,91.8315,91.949,95.5225
