system,en_es,en_fr,en_pt,en_it,en_de,en_nl,en_zh,es_en,fr_en,pt_en,it_en,de_en,zh_en
aya_canary-v2,0.9367,0.9259,0.9378,0.938,0.9688,0.9573,0.8881,0.9368,0.9068,0.9229,0.9285,0.9386,0.1381
aya_owsm4.0-ctc,0.9185,0.9038,0.9173,0.9155,0.9594,0.9379,0.8729,0.9174,0.8595,0.8932,0.9171,0.9188,0.8957
aya_seamlessm4t,0.932,0.9217,0.9336,0.9329,0.9671,0.9521,0.8858,0.9182,0.8882,0.8887,0.9285,0.9184,0.9234
aya_whisper,0.9364,0.9204,0.9359,0.9313,0.9666,0.9526,0.8824,0.9374,0.8946,0.9268,0.9359,0.9406,0.9235
canary-v2,0.9078,0.8845,0.9072,0.9018,0.9447,0.9278,0.0,0.8357,0.8451,0.8505,0.8484,0.8658,0.0441
desta2-8b,0.8459,0.7445,0.8317,0.7827,0.9161,0.8693,0.4884,0.8159,0.7121,0.8048,0.778,0.8191,0.7453
gemma_canary-v2,0.9338,0.9109,0.9398,0.9368,0.9669,0.9543,0.8861,0.9325,0.9023,0.9102,0.9215,0.9307,
gemma_owsm4.0-ctc,0.9172,0.8918,0.9197,0.9192,0.9576,0.9412,0.8727,0.9003,0.8491,0.8915,0.9023,0.9022,0.8659
gemma_seamlessm4t,0.932,0.9103,0.937,0.931,0.9654,0.9481,0.8877,0.915,0.8795,0.8835,0.9191,0.9082,0.9077
gemma_whisper,0.9323,0.9076,0.937,0.9295,0.9659,0.9513,0.8792,0.9286,0.8921,0.9157,0.9282,0.9317,0.907
owsm4.0-ctc,0.5657,0.3966,0.3448,0.4652,0.7766,0.4938,0.5776,0.5109,0.4834,0.5486,0.4672,0.4463,0.2072
phi4multimodal,0.7978,0.3925,0.8011,0.8466,0.7092,0.6535,0.7709,0.8765,0.9025,0.9169,0.881,0.8746,0.8353
qwen2audio-7b,0.8118,0.8062,0.8245,0.7895,0.8922,0.8246,0.8046,0.8129,0.7764,0.7947,0.8253,0.8078,0.8176
seamlessm4t,0.9045,0.8829,0.9052,0.899,0.9403,0.9353,0.7373,0.8892,0.8708,0.8691,0.9098,0.8948,0.8669
spirelm,0.8283,0.7683,0.8301,0.8201,0.8961,0.8649,0.6915,,,,,,
tower_canary-v2,0.9381,0.9176,0.9346,0.9381,0.969,0.9552,0.8979,0.9338,0.9127,0.9238,0.9286,0.9378,0.1003
tower_owsm4.0-ctc,0.9198,0.8974,0.9144,0.9201,0.9604,0.9399,0.8787,0.9164,0.8615,0.8979,0.9122,0.9184,0.8854
tower_seamlessm4t,0.9357,0.9137,0.9322,0.9325,0.9693,0.9555,0.8932,0.9153,0.8897,0.8815,0.9253,0.9187,0.9219
tower_whisper,0.9342,0.9123,0.9302,0.9335,0.9684,0.9551,0.8884,0.9354,0.9072,0.9243,0.9352,0.9414,0.9219
voxtral-small-24b,0.9552,0.9327,0.947,0.9518,0.9773,0.97,0.898,0.9333,0.9132,0.9312,0.9356,0.9405,0.8567
whisper,,,,,,,,0.8703,0.8334,0.8838,0.8743,0.8651,0.7641
