system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,es_en,fr_en,it_en,zh_en
whisper,,,,,,,,86.18,81.3285,85.7024,76.1758
seamlessm4t,94.3489,90.7644,88.6046,90.6447,94.5339,91.099,74.8807,88.4945,87.206,91.8495,87.2447
canary-v2,94.8081,90.9478,89.8599,90.0967,93.0915,89.8138,0.0,81.4584,87.0223,83.0278,4.0103
owsm4.0-ctc,76.9389,56.812,39.3171,46.6213,48.1351,23.4456,58.954,52.6936,43.549,41.312,19.53
aya_whisper,96.8207,93.6706,91.8361,92.9481,95.8795,92.7647,88.6303,92.7577,90.072,92.8568,92.7547
gemma_whisper,96.7122,93.4551,92.3445,94.0117,96.8033,93.9685,88.2103,91.8412,90.1804,93.1537,90.1901
tower_whisper,96.995,93.1113,92.1447,93.4015,96.3017,92.4862,89.7192,92.6767,90.6624,93.9061,91.7289
aya_seamlessm4t,96.9578,93.9521,93.0447,93.416,95.624,94.0105,89.0383,92.4515,89.1571,92.155,93.6888
gemma_seamlessm4t,96.9346,93.4313,93.2626,93.4316,96.4828,94.9684,89.5937,91.878,88.7414,89.7669,90.6783
tower_seamlessm4t,97.2737,93.6936,93.3699,93.8305,96.7775,94.0388,90.2321,91.128,89.0205,91.8782,92.6607
aya_canary-v2,97.2172,93.477,93.205,93.7921,96.274,93.727,89.5973,92.8275,89.8049,91.8584,13.4886
gemma_canary-v2,97.0203,93.3497,91.9683,94.3989,96.2712,93.7414,87.4861,92.8186,89.01,92.3177,
tower_canary-v2,96.7115,93.5788,92.4325,93.9023,96.4385,92.9492,89.902,92.5368,91.1268,92.6111,8.5562
aya_owsm4.0-ctc,96.2739,91.5944,91.5014,91.3848,94.8289,90.4224,88.1204,92.5287,86.8054,90.9717,89.6926
gemma_owsm4.0-ctc,95.5813,90.4626,89.0739,90.3027,95.1444,90.7695,87.0465,89.743,86.4086,87.7824,86.1266
tower_owsm4.0-ctc,95.8837,91.7016,90.7031,90.9687,95.7131,91.8756,88.2474,92.2595,86.319,90.0372,89.0693
desta2-8b,91.2093,83.7416,77.5964,79.4129,87.7624,83.4993,44.8422,82.1664,69.7194,78.9684,75.5662
qwen2audio-7b,88.4541,78.0149,82.887,80.15,82.9499,86.3614,80.9859,83.0511,77.373,84.3265,83.9556
phi4multimodal,70.2015,80.8496,40.6116,84.0731,70.9313,79.7632,77.9018,88.0605,89.895,86.7938,83.9062
voxtral-small-24b,98.1392,95.6885,93.5678,95.4109,97.4236,94.2651,90.5919,92.801,92.6528,94.7452,85.6179
spirelm,88.4726,84.6877,76.8245,82.3515,86.5846,83.7423,70.1739,,,,
qwen3omni,96.3535,94.4088,92.7524,95.3404,96.1056,94.4485,92.9618,92.7816,93.0494,92.97,95.164
