system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh,es_en,fr_en,it_en,zh_en
whisper,,,,,,,,86.2858,84.3883,83.9452,77.196
seamlessm4t,93.945,88.752,87.3526,90.3912,94.4714,89.4673,72.6271,88.9728,86.6948,91.9935,87.6352
canary-v2,94.4816,89.3599,86.4851,88.9016,92.6997,88.8298,0.0,84.5307,84.042,80.6563,4.5176
owsm4.0-ctc,77.1124,57.7121,39.7606,49.3706,50.442,49.5431,55.6497,51.9152,50.6635,50.0326,21.3676
aya_whisper,95.8434,91.9047,91.2141,91.9185,95.2579,92.0003,87.4103,93.3093,90.0576,90.6457,92.9896
gemma_whisper,95.8759,91.2124,90.1476,92.439,94.7814,93.1212,85.0328,92.4236,89.5978,92.1543,92.16
tower_whisper,96.3488,91.5496,90.3121,91.8878,94.7221,91.9339,87.7015,92.6092,92.1842,93.1868,93.7736
aya_seamlessm4t,95.9509,91.7862,91.232,91.8048,95.6851,91.0247,87.462,91.6798,89.52,92.196,92.8279
gemma_seamlessm4t,95.4863,91.4233,90.5453,91.1212,95.1854,92.6231,87.5019,91.5602,87.4086,92.9714,91.0198
tower_seamlessm4t,95.9723,91.7308,89.7304,90.7371,95.5555,91.1424,88.7109,91.4064,89.9715,93.5261,92.8303
aya_canary-v2,96.3714,92.1484,92.0657,92.6212,95.2255,91.313,88.7054,94.0357,90.2357,90.7001,14.1615
gemma_canary-v2,96.4099,92.4474,91.7419,92.6119,95.2356,93.0093,87.0042,93.1321,89.5897,92.575,
tower_canary-v2,96.9375,92.5987,90.7909,92.7063,96.0217,91.5662,89.2519,93.6594,91.4977,91.5068,10.1682
aya_owsm4.0-ctc,95.2437,89.0156,88.532,89.2579,93.7709,88.9939,86.1197,91.6325,87.3282,90.3643,88.5718
gemma_owsm4.0-ctc,95.5162,91.1533,89.5917,91.3754,95.2612,90.7616,86.364,89.9158,85.7518,88.2961,86.1306
tower_owsm4.0-ctc,95.3865,89.4961,89.4088,90.2397,92.7766,89.5502,87.2328,91.4036,87.302,92.0109,88.0248
desta2-8b,91.6292,82.2998,71.9822,76.3094,86.345,82.2553,52.0628,84.0034,72.3643,71.3292,74.467
qwen2audio-7b,86.7008,78.886,80.9238,79.5067,81.3983,83.2275,79.6892,83.6244,80.7079,81.6908,84.2993
phi4multimodal,69.6439,77.202,41.4546,83.7049,64.3448,79.8466,76.2476,88.7784,90.9199,87.4396,84.6337
voxtral-small-24b,97.5049,94.1093,92.8686,94.9245,96.8215,94.0467,88.3307,93.3988,92.145,92.2379,86.8775
spirelm,89.9973,80.7539,77.7391,81.7467,87.1904,81.9621,69.3875,,,,
qwen3omni,96.8453,94.3801,93.4722,94.5352,95.5689,93.1099,91.1021,93.4063,93.0601,92.7317,95.4877
