direction,system,METRICX_QE_24_diff,XCOMET_QE_diff
en_pt,canary-v2,-1.578483198564176,0.10115451230201655
en_pt,desta2-8b,-0.9414616544059804,0.04765056043351201
en_pt,gemma_canary-v2,-2.2433457762949356,0.15734120685555164
en_pt,gemma_seamlessm4t,Missing,Missing
en_pt,gemma_whisper,-0.8879233181350266,0.06785040943187726
en_pt,owsm4.0-ctc,-2.390870290869149,0.1070414699180324
en_pt,phi4multimodal,-3.3293256672582903,0.22566157667367903
en_pt,qwen2audio-7b,-2.263859922721384,0.12266811050389981
en_pt,seamlessm4t,-4.31926263501949,0.24037487815895375
en_pt,spirelm,-2.3787729258037285,0.16307995107442835
en_pt,voxtral-small-24b,-0.8802282232409357,0.03805490349855667
