direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_es,canary-v2,0.5672,8.03,0.6329,8.0794,0.5651
en_es,desta2-8b,0.5458,8.182,0.8439,8.2826,0.5419
en_es,gemma_canary-v2,0.5824,7.2673,0.211,7.3077,0.5807
en_es,gemma_whisper,0.6346,6.4638,0.6329,6.5245,0.6312
en_es,owsm4.0-ctc,0.2745,17.1636,0.8439,17.2552,0.2707
en_es,phi4multimodal,0.5093,9.7315,3.5865,10.1,0.4936
en_es,qwen2audio-7b,0.4923,9.7469,5.9072,10.5871,0.4671
en_es,seamlessm4t,0.3784,15.0722,5.6962,15.3926,0.3619
en_es,spirelm,0.5091,9.2671,0.4219,9.3427,0.5064
en_es,voxtral-small-24b,0.6815,5.7892,0.4219,5.8755,0.678
