direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_fr,canary-v2,0.4814,8.5554,0.4219,8.569,0.4811
en_fr,desta2-8b,0.427,8.6064,0.8439,8.7077,0.4246
en_fr,gemma_canary-v2,0.4868,7.6872,0.211,7.6953,0.4865
en_fr,gemma_whisper,0.5685,6.8544,0.0,6.8544,0.5685
en_fr,owsm4.0-ctc,0.1984,18.5094,0.6329,18.588,0.197
en_fr,phi4multimodal,0.4441,10.9303,26.7932,14.7819,0.2701
en_fr,qwen2audio-7b,0.4095,10.1886,4.4304,10.8336,0.3879
en_fr,seamlessm4t,0.2909,16.464,2.3207,16.5837,0.2851
en_fr,spirelm,0.422,9.4768,0.6329,9.5721,0.4203
en_fr,voxtral-small-24b,0.6026,6.3357,0.211,6.3725,0.6017
