direction,system,XCOMET-QE,QEMetricX_24,LinguaPy,QEMetricX_24-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_nl,canary-v2,0.6091,7.2317,0.4219,7.2636,0.608
en_nl,desta2-8b,0.5685,7.846,0.0,7.846,0.5685
en_nl,gemma_canary-v2,0.6086,6.9011,0.211,6.9055,0.6082
en_nl,gemma_whisper,0.6828,5.9532,0.0,5.9532,0.6828
en_nl,owsm4.0-ctc,0.3069,17.3841,16.2447,19.0306,0.2451
en_nl,phi4multimodal,0.4352,12.2269,20.8861,15.2126,0.31
en_nl,qwen2audio-7b,0.4798,10.6315,4.2194,11.2431,0.4595
en_nl,seamlessm4t,0.3368,16.5986,5.9072,16.8965,0.314
en_nl,spirelm,0.5457,8.1434,0.8439,8.2744,0.54
en_nl,voxtral-small-24b,0.7256,5.1395,0.211,5.1776,0.7251
