system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.9793,0.3405,0.1342,-0.013,-0.0069
aya_owsm4.0-ctc,both,-0.8705,0.4716,0.3037,-0.0079,-0.0029
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,-2.5027,-0.9224,-1.2462,0.0415,0.0507
canary-v2,both,-1.197,-1.2412,-1.3979,0.0361,0.0454
desta2-8b,both,-66.1589,-10.0604,-16.8644,0.6078,0.7151
gemma_canary-v2,both,-0.4353,0.0787,0.0322,-0.0116,-0.0078
gemma_owsm4.0-ctc,both,-0.1088,0.5054,0.5161,-0.0198,-0.0183
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,both,-0.7617,-0.7349,-0.8143,0.02,0.0212
owsm4.0-ctc,both,0.2176,0.5445,0.6362,-0.0106,-0.0139
phi4multimodal,both,8.4875,1.1253,1.0892,0.1279,-0.0311
qwen2audio-7b,both,-74.7552,-9.6059,-17.4091,0.6012,0.7155
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,0.0,0.0182,0.059,-0.0042,-0.0049
tower_owsm4.0-ctc,both,0.0,0.2785,0.3365,-0.0142,-0.0168
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,-0.7617,-1.2432,-1.2755,0.0417,0.041
voxtral-small-24b,both,0.2176,-0.0819,0.0051,-0.0027,-0.0041
