system,_merge,LinguaPy_diff,metricx_qe_score_diff,QEMetricX_24-Strict-linguapy_diff,xcomet_qe_score_diff,XCOMET-QE-Strict-linguapy_diff
aya_canary-v2,both,-0.1088,0.015,0.0267,-0.0058,-0.0066
aya_owsm4.0-ctc,both,-0.3264,-0.2744,-0.3053,0.019,0.0202
aya_seamlessm4t,left_only,,,,,
aya_whisper,both,0.0,0.5489,0.5716,-0.0353,-0.035
canary-v2,both,0.0,0.436,0.0,-0.037,0.0
desta2-8b,both,79.2165,10.458,15.5227,-0.3759,-0.493
gemma_canary-v2,both,0.4353,-0.084,0.0054,0.0001,-0.0039
gemma_owsm4.0-ctc,both,0.5441,-0.3044,-0.1821,0.0203,0.0163
gemma_seamlessm4t,left_only,,,,,
gemma_whisper,both,1.0881,0.7257,0.8291,-0.0292,-0.031
owsm4.0-ctc,both,1.8498,-0.4084,-0.2137,0.0236,0.0127
phi4multimodal,both,31.3384,5.3426,9.2392,-0.3913,-0.3624
qwen2audio-7b,both,71.2731,10.424,18.4753,-0.5031,-0.6362
seamlessm4t,left_only,,,,,
spirelm,left_only,,,,,
tower_canary-v2,both,0.1088,0.1905,0.195,-0.0131,-0.0136
tower_owsm4.0-ctc,both,-0.2176,0.0651,0.0158,-0.0118,-0.0095
tower_seamlessm4t,left_only,,,,,
tower_whisper,both,0.7617,0.8313,0.8952,-0.0508,-0.0518
voxtral-small-24b,both,0.3264,-0.0337,0.0492,-0.0022,-0.0044
